policy_loss,clipfrac,approxkl,total_timesteps,true_reward,policy_entropy,ep_len_mean,ep_reward_mean,value_loss,fps,n_updates,time_elapsed,explained_variance,serial_timesteps
-0.0023123338,0.027503997,0.0031011617,875000,-0.2230666,5.292425,21.76,0.1601274180913606,0.30812398,59144,35,37.97881078720093,0.6014701426029205,8750
-0.0017568299,0.018764,0.0022555317,900000,-0.21563236,5.2814407,21.12,0.22899932175802348,0.28893894,59746,36,38.881192684173584,0.6397069692611694,9000
-0.0023818647,0.030056,0.0034318133,925000,-0.21365492,5.27065,24.88,0.20089516158903278,0.29628968,48838,37,39.77027416229248,0.6211332380771637,9250
-0.0022474863,0.030340001,0.003105315,950000,-0.2141233,5.2584486,23.8,0.2020502008804715,0.31923702,49029,38,40.82625865936279,0.598430722951889,9500
-0.0019566254,0.027252,0.003062355,975000,-0.2143891,5.246583,25.76,0.29193675975810945,0.28328574,55080,39,41.838916540145874,0.6417965590953827,9750
-0.0025815694,0.024096,0.002914313,1000000,-0.20809634,5.236243,23.28,0.25191780699086846,0.2715345,56665,40,42.725665807724,0.6628883481025696,10000
-0.0022979793,0.027360002,0.0028443353,1025000,-0.2097368,5.225738,21.72,0.23145544812744448,0.29874188,57816,41,43.62634801864624,0.631557434797287,10250
-0.002019353,0.019603997,0.0027967503,1050000,-0.20216894,5.2139425,21.92,0.22807484291522997,0.29191253,56753,42,44.50896430015564,0.65571129322052,10500
-0.0023595723,0.023815999,0.0028267903,1075000,-0.20264384,5.202316,22.93,0.22241302433674717,0.28492013,56284,43,45.390833616256714,0.6601474583148956,10750
-0.0022553368,0.029123997,0.0030299586,1100000,-0.19447508,5.190692,23.88,0.21354385736971382,0.25305006,55350,44,46.30338788032532,0.6949065327644348,11000
-0.0019234052,0.023648,0.002750149,1125000,-0.1935363,5.1782517,25.02,0.24942308124474494,0.29333317,58398,45,47.21700072288513,0.6580563187599182,11250
-0.0023018667,0.021496002,0.002647161,1150000,-0.18945846,5.167069,24.57,0.26105372345587513,0.25729203,57496,46,48.05904030799866,0.706811785697937,11500
-0.002375748,0.038356,0.0037080613,1175000,-0.18908496,5.1576242,23.75,0.20863655153898436,0.29000735,59756,47,48.91241502761841,0.6679707169532776,11750
-0.00201385,0.028760005,0.0031806454,1200000,-0.18642743,5.147044,26.88,0.19140510630171548,0.26899648,58133,48,49.725754737854004,0.6914441287517548,12000
-0.0027578576,0.033324,0.0034056932,1225000,-0.17407486,5.135331,26.44,0.24178321466843045,0.24971414,60225,49,50.55087757110596,0.7330508828163147,12250
-0.0027812566,0.038347997,0.0036474124,1250000,-0.17959227,5.1248946,27.46,0.18362849383945104,0.271253,59780,50,51.367363929748535,0.7042016386985779,12500
-0.0021503842,0.038296003,0.0037922903,1275000,-0.17218289,5.1144037,27.64,0.23291710898202836,0.28325778,59474,51,52.18177556991577,0.7038779854774475,12750
-0.0020580962,0.029167999,0.0033057376,1300000,-0.16754866,5.1032248,30.23,0.32500557629499327,0.25691885,60994,52,53.026790142059326,0.7332586944103241,13000
-0.0019727487,0.027312,0.0029163356,1325000,-0.16238688,5.0920296,28.45,0.3001750292268116,0.25630507,59248,53,53.82258582115173,0.7427121996879578,13250
-0.0029093088,0.037536003,0.0037072424,1350000,-0.1645099,5.081006,29.46,0.28182111677169813,0.269804,59660,54,54.6329665184021,0.7283134758472443,13500
-0.0014586693,0.020267999,0.0026365134,1375000,-0.15497963,5.06957,30.27,0.34939946339214656,0.24923635,54224,55,55.43964409828186,0.755184605717659,13750
-0.0026394785,0.031499997,0.0032470357,1400000,-0.15427198,5.0588827,26.59,0.29559590590481094,0.2775213,58603,56,56.29928755760193,0.7414326369762421,14000
-0.0020889395,0.030752,0.0031335526,1425000,-0.1527079,5.0488515,25.52,0.30476818549847395,0.28888142,58718,57,57.12356233596802,0.7304790914058685,14250
-0.0018028931,0.021076,0.0024895156,1450000,-0.15415083,5.0391645,28.21,0.2962977544137539,0.2666675,58780,58,57.934738636016846,0.7571863681077957,14500
-0.0025252919,0.027768001,0.0030843108,1475000,-0.14880826,5.0283856,30.34,0.3529521919837032,0.27582848,59450,59,58.74775767326355,0.7500131130218506,14750
-0.002843752,0.034928,0.0034423799,1500000,-0.14818251,5.0167494,33.05,0.3262042341681854,0.2860655,59607,60,59.58176350593567,0.743610680103302,15000
-0.0024561244,0.021227999,0.0025953702,1525000,-0.14304778,5.0029287,30.17,0.3822977775020786,0.26704547,57747,61,60.40015268325806,0.7630457431077957,15250
-0.002021518,0.020716,0.0026850398,1550000,-0.13657285,4.9886255,30.16,0.3407914806830013,0.25802407,56791,62,61.22988486289978,0.7779596149921417,15500
-0.0016307508,0.013428,0.0020749993,1575000,-0.1315904,4.9762826,34.21,0.43951707225298375,0.2513207,59809,63,62.07399916648865,0.7881416082382202,15750
-0.002566611,0.032948,0.0032849386,1600000,-0.13360466,4.966068,33.09,0.5089227359348365,0.27828473,58525,64,62.89271378517151,0.7720672339200974,16000
-0.002417994,0.029504001,0.0031404626,1625000,-0.13643946,4.955283,33.4,0.3999199663763088,0.29790407,50906,65,63.72790217399597,0.7593919485807419,16250
