value_loss,fps,n_updates,total_timesteps,ep_reward_mean,time_elapsed,ep_len_mean,policy_entropy,serial_timesteps,true_reward,policy_loss,clipfrac,explained_variance,approxkl
0.092660174,59905,35,875000,1.687477333785996,34.230207443237305,79.75,5.39386,8750,-0.00840434,-0.0012184086,0.009267999,0.9335738345980644,0.0016131498
0.092079684,60233,36,900000,1.5913793238935796,35.03935170173645,81.06,5.3851967,9000,-0.010557089,-0.0018189134,0.015152002,0.9340337365865707,0.0020170812
0.08420059,59875,37,925000,1.4473902790639235,35.83573508262634,75.32,5.3747644,9250,-0.009082106,-0.0020877891,0.024608001,0.93995625898242,0.0024760705
0.09184196,57537,38,950000,1.5945899664540957,36.64006567001343,73.79,5.366903,9500,-0.010791593,-0.0013304385,0.005388,0.9375234022736549,0.0010328295
0.0868399,57375,39,975000,1.3700222679229206,37.48222780227661,68.16,5.3598127,9750,-0.01183776,-0.0012826525,0.008928,0.9410574436187744,0.0014644922
0.10719863,55681,40,1000000,1.2951280466218793,38.344104528427124,67.74,5.350019,10000,-0.010776358,-0.0012976266,0.012484001,0.9256974756717682,0.0017518287
0.07363586,57352,41,1025000,1.7075114316417512,39.241617918014526,75.71,5.3389997,10250,-0.00982011,-0.0011880498,0.016856,0.9483114629983902,0.0022879704
0.061740495,57248,42,1050000,1.699304979496713,40.09546732902527,81.21,5.327721,10500,-0.0081398245,-0.0022961826,0.029663999,0.957620345056057,0.0032012803
0.07802029,60231,43,1075000,1.577075670920844,40.95453429222107,81.21,5.3155785,10750,-0.00975299,-0.002212129,0.015932,0.945992823690176,0.0023738763
0.06119129,58705,44,1100000,1.7361510915939875,41.77540612220764,79.4,5.3009195,11000,-0.00844048,-0.0014333179,0.012704,0.9610103890299797,0.0018775597
0.06422169,57539,45,1125000,1.6104510699942147,42.62130904197693,76.65,5.2864656,11250,-0.00891383,-0.0011449693,0.012064,0.9543086923658848,0.0021197516
0.07269948,60706,46,1150000,1.5014799441881406,43.46830081939697,68.61,5.272769,11500,-0.008827069,-0.0023733745,0.023268001,0.9523712955415249,0.002646043
0.057689447,60559,47,1175000,1.5711282831092468,44.29372596740723,82.14,5.2595615,11750,-0.00912749,-0.0021939452,0.02394,0.9593259580433369,0.0027879612
0.051660676,60292,48,1200000,1.5481411238308647,45.13747239112854,74.73,5.247918,12000,-0.009962331,-0.0012462088,0.01576,0.9641546420753002,0.0021932255
0.04933809,57007,49,1225000,1.850470120764246,45.97774958610535,81.52,5.233929,12250,-0.0073999693,-0.0019471569,0.02636,0.9667669348418713,0.0028512012
0.061454147,58556,50,1250000,1.7844764506982846,46.838037729263306,75.46,5.2195077,12500,-0.009145816,-0.0014113532,0.017132001,0.9563069194555283,0.002263812
0.06876826,58235,51,1275000,1.3848377426989829,47.6822783946991,74.55,5.2070155,12750,-0.009850786,-0.0010525793,0.013040001,0.9474688097834587,0.0019454056
0.061498486,56679,52,1300000,1.9342206551318384,48.53328824043274,86.19,5.19363,13000,-0.0052477214,-0.0015160281,0.019572001,0.957611944526434,0.0022413258
0.068738386,56402,53,1325000,1.9589218037125828,49.385266065597534,87.4,5.1813283,13250,-0.007596581,-0.0018306654,0.035768002,0.9492945596575737,0.0036395479
0.056776304,57396,54,1350000,1.7095914847686071,50.23678135871887,78.28,5.1709313,13500,-0.006382535,-0.0015778309,0.020192001,0.9607446007430553,0.0025089874
0.047635812,57096,55,1375000,1.7322842602610853,51.08008694648743,78.0,5.1608133,13750,-0.0046472223,-0.0021643096,0.02066,0.9674004577100277,0.0027710055
0.075669855,58732,56,1400000,1.5798110755213668,51.93618607521057,68.36,5.1502786,14000,-0.008575269,-0.0022741493,0.029723998,0.9456502683460712,0.0030335982
0.05747641,50638,57,1425000,1.5964677689486553,52.78628349304199,74.11,5.138587,14250,-0.009462816,-0.0014962188,0.013924,0.9586538188159466,0.0019083482
0.08331204,59770,58,1450000,1.860986344176763,53.716784954071045,76.17,5.126157,14500,-0.005950275,-0.0016109289,0.020324,0.942553699016571,0.0026556728
0.04880003,58216,59,1475000,1.6886586039841711,54.544886350631714,78.01,5.1129737,14750,-0.0048556994,-0.0016932372,0.01952,0.9639348275959492,0.0025138555
0.06146904,57712,60,1500000,1.6351510207529691,55.376219749450684,70.97,5.0986614,15000,-0.006829135,-0.0016127635,0.020299999,0.9584440365433693,0.0024114854
0.06186857,59364,61,1525000,2.065679798455883,56.217323303222656,83.54,5.0827723,15250,-0.005542345,-0.0018126281,0.0231,0.9557739235460758,0.0028693287
0.04938876,58453,62,1550000,1.94467578099036,57.03778791427612,81.35,5.068499,15500,-0.0017279488,-0.0018986858,0.019988,0.9662813283503056,0.0024332711
0.05312082,58520,63,1575000,1.8058610346387156,57.88105893135071,77.73,5.056056,15750,-0.0027791897,-0.0011622859,0.018400002,0.9632013700902462,0.0024918797
0.0683112,60582,64,1600000,1.7059111225170023,58.69631361961365,73.81,5.044059,16000,-0.0061049634,-0.0017997276,0.022944,0.9511803165078163,0.0027297633
0.05779799,59537,65,1625000,1.8022724109672117,59.51319193840027,79.72,5.033351,16250,-0.0023662949,-0.0018131577,0.020936001,0.9588491506874561,0.0024612457
0.043068193,60713,66,1650000,1.8493548117626597,60.33281922340393,79.82,5.021701,16500,-0.0027598923,-0.0018736648,0.026340002,0.9706167820841074,0.0028272518
0.04692156,60304,67,1675000,1.7459550696949009,61.14763069152832,73.82,5.007345,16750,-0.0054841405,-0.0012580908,0.015904,0.966471828520298,0.0023366762
0.05334568,57937,68,1700000,2.221203020464927,61.97672152519226,82.32,4.994419,17000,-0.0040791947,-0.0020057359,0.034535997,0.9646460115909576,0.0032831305
0.055155836,57867,69,1725000,2.0311695393848495,62.81956911087036,83.6,4.98368,17250,-0.0034133478,-0.0015871469,0.020876002,0.960901215672493,0.0027647375
0.053052533,58705,70,1750000,2.0202030200311767,63.66770792007446,81.86,4.97407,17500,-0.0024892837,-0.0017772202,0.022335999,0.9636514633893967,0.0026358846
0.057379775,57588,71,1775000,1.8102368460502203,64.48995852470398,76.01,4.964452,17750,-0.0026248298,-0.0023139096,0.047376,0.9594569429755211,0.004157053
0.07166234,58591,72,1800000,2.120361879189859,65.35151410102844,75.93,4.95317,18000,-0.004300785,-0.0017527633,0.030088002,0.953078206628561,0.0030241192
0.056756563,58481,73,1825000,2.1401612169244935,66.17421865463257,77.07,4.9407053,18250,-0.0005606858,-0.0022321062,0.030623998,0.9624339379370213,0.003362064
0.069131434,56856,74,1850000,2.0740471869612067,67.02518701553345,78.51,4.9305797,18500,-0.004134044,-0.001809579,0.030824002,0.9523215629160404,0.00326777
0.06315849,56949,75,1875000,1.886405689723306,67.87822389602661,76.11,4.9197645,18750,-0.0027525022,-0.0024165125,0.0339,0.9570046439766884,0.0035087722
0.06966255,53050,76,1900000,1.940647136048833,68.73835754394531,80.08,4.908876,19000,-0.0010150073,-0.0023299647,0.041215997,0.9533364288508892,0.003937763
0.04568822,57128,77,1925000,2.10987860923733,69.61907982826233,77.51,4.896612,19250,-0.0019105766,-0.0017253598,0.028036002,0.9687165394425392,0.0031199956
0.036450386,60186,78,1950000,1.8258528674847776,70.45287013053894,75.51,4.882453,19500,-0.002075892,-0.002272002,0.029684002,0.9745909683406353,0.0031978015
0.059581082,58442,79,1975000,2.0197256061311735,71.27709174156189,80.18,4.870452,19750,-0.0009064454,-0.0019695633,0.038976002,0.9607978239655495,0.0037118506
0.05367282,59462,80,2000000,2.24770238549454,72.14091539382935,80.99,4.8587193,20000,0.0008516861,-0.0023882748,0.047168005,0.9655144177377224,0.0042684632
