total_timesteps,time_elapsed,fps,value_loss,ep_len_mean,policy_loss,policy_entropy,approxkl,serial_timesteps,explained_variance,true_reward,n_updates,ep_reward_mean,clipfrac
900000,30.808048486709595,63789,1.0973824,82.96,-0.0026842474,3.8415973,0.006177619,9000,0.8253431171178818,0.14185762,36,12.934483436644078,0.07594
925000,31.585104942321777,62719,1.031202,91.93,0.0014840005,3.836785,0.0104992855,9250,0.8436917662620544,0.14431937,37,14.533658071681858,0.13615999
950000,32.35421705245972,62815,1.0996348,74.75,0.0006914867,3.8319962,0.007930559,9500,0.835579976439476,0.1420585,38,11.70257994644344,0.098776005
975000,33.13052439689636,61442,1.1543586,70.39,-0.0036682591,3.8272743,0.0045356615,9750,0.8308160454034805,0.14158413,39,11.205870404168964,0.048152
1000000,33.92515468597412,59886,1.1178715,82.78,-0.003132245,3.82212,0.005404031,10000,0.8260128051042557,0.14304417,40,12.85624507367611,0.064388
1025000,34.73753881454468,61198,1.1851801,87.06,-0.00019168334,3.8168283,0.009655295,10250,0.8150345385074615,0.14280686,41,13.61119116023183,0.108124
1050000,35.53059697151184,59693,1.1590648,84.14,0.003364607,3.812364,0.0144771505,10500,0.8245968669652939,0.14316957,42,13.18877959907055,0.17042801
1075000,36.34571361541748,61087,1.0426369,93.12,-0.0013401537,3.807267,0.0064717745,10750,0.8281774520874023,0.14487319,43,14.715034723877906,0.077776
1100000,37.15040159225464,61615,1.2408556,86.42,-0.0024886965,3.7995236,0.0045741037,11000,0.807683527469635,0.1431579,44,13.683189213946461,0.048524
1125000,37.97516345977783,61475,1.1466054,87.29,-0.001991333,3.7916348,0.0054083276,11250,0.8215782344341278,0.14292103,45,13.664897664934397,0.063924
1150000,38.82863926887512,61903,1.0521566,82.61,0.0016983312,3.784467,0.00976397,11500,0.8400239199399948,0.14344232,46,13.052223856449126,0.124731995
1175000,39.62475299835205,60923,1.0517681,79.44,0.00039551742,3.7788365,0.0077259033,11750,0.8395586013793945,0.14335664,47,12.500056341215968,0.09524
1200000,40.438931465148926,60772,1.0629627,82.22,-4.34699e-05,3.772503,0.007895418,12000,0.8337266594171524,0.14209093,48,12.890171553641558,0.101808
1225000,41.23522925376892,60181,1.0741105,83.57,-0.0023996984,3.7641697,0.0036093616,12250,0.825400248169899,0.14470243,49,13.130102727338672,0.035748
1250000,42.03104114532471,61062,1.0988703,95.66,-0.0036548,3.755483,0.005666755,12500,0.834027960896492,0.1446787,50,15.206134789437055,0.066756
1275000,42.82457876205444,60396,1.1743788,80.41,-0.0023423561,3.747085,0.005394229,12750,0.8194002211093903,0.14454135,51,12.685119245499372,0.061564
1300000,43.62501859664917,61546,1.0365264,90.29,0.0012816957,3.741438,0.010288772,13000,0.8512309193611145,0.14409277,52,14.339432662129402,0.13332799
1325000,44.41790056228638,61953,1.1425267,99.7,0.0007791254,3.7377172,0.009145445,13250,0.819614589214325,0.14604542,53,15.72872676126659,0.110896006
1350000,45.200217962265015,60013,1.0916388,83.08,-0.0017652644,3.7321258,0.009043444,13500,0.8415284603834152,0.14344147,54,13.06211462944746,0.114691995
1375000,45.99223208427429,60543,1.12113,94.78,-0.0017987452,3.7223709,0.0055243624,13750,0.8274212330579758,0.14487563,55,14.973398266136646,0.064692006
1400000,46.80099821090698,60943,1.1432799,96.19,-0.0011327551,3.7153008,0.006081302,14000,0.8208681643009186,0.14440592,56,15.124334874749184,0.074411996
1425000,47.58641457557678,60709,1.0742911,108.06,-0.0014282373,3.709032,0.0057701934,14250,0.8247232437133789,0.1469625,57,17.23701860047877,0.069488004
1450000,48.38916325569153,61904,1.1052974,97.83,-0.0011956736,3.7032917,0.007858512,14500,0.8300296664237976,0.14439002,58,15.336556480377913,0.093863994
1475000,49.16021656990051,60276,1.0497458,98.36,-0.0037905495,3.6995308,0.0039197705,14750,0.833564504981041,0.14513193,59,15.504363566339016,0.040200002
1500000,49.95923900604248,59851,1.0706856,87.93,-0.002760165,3.6953435,0.0071471343,15000,0.8393438309431076,0.1444526,60,13.791762602701784,0.089624
1525000,50.749889612197876,61871,1.0963347,92.63,-0.0029802532,3.68924,0.0067783357,15250,0.8372306674718857,0.14542665,61,14.727659382596611,0.08505601
1550000,51.54335880279541,59885,1.0707935,101.42,5.360716e-05,3.6825185,0.00976117,15500,0.8363113105297089,0.14603187,62,15.947418379113078,0.12134
1575000,52.34413766860962,61780,1.1178032,99.49,-0.0033137384,3.6754189,0.0055323923,15750,0.8296613991260529,0.1455386,63,15.601413816437125,0.06575601
1600000,53.11973452568054,59930,1.08473,101.59,-0.0015278399,3.6694133,0.004933668,16000,0.8403500914573669,0.14572784,64,16.095617772117258,0.054579996
1625000,53.93108558654785,61706,1.1913613,88.78,-7.185743e-05,3.6631935,0.006708124,16250,0.8274067491292953,0.14618409,65,14.125100330710412,0.084879994
1650000,54.73778700828552,61751,1.1677352,84.12,0.0009285427,3.65691,0.008957246,16500,0.8312663435935974,0.1458118,66,13.34296249821782,0.118824005
1675000,55.547770738601685,60114,1.1712048,100.7,-0.003200921,3.6493065,0.0049398146,16750,0.8244228810071945,0.14612323,67,15.974483954682945,0.057252
1700000,56.33666753768921,61699,1.1666247,107.8,-0.0030518551,3.6408887,0.005555208,17000,0.8186983317136765,0.14679556,68,17.07224211990833,0.066376
1725000,57.13061046600342,59878,1.149006,87.94,-0.003333026,3.6344495,0.0060413447,17250,0.8363482058048248,0.14555262,69,13.920762511715292,0.07366
1750000,57.930235385894775,60448,1.1746571,93.99,-0.0037623146,3.6262848,0.004753403,17500,0.8158402889966965,0.14704219,70,15.064261132851243,0.051531993
1775000,58.714457988739014,60587,1.1649581,104.31,-0.0041806,3.616775,0.006036254,17750,0.8238734304904938,0.14739597,71,16.67890253059566,0.072288
1800000,59.5049102306366,60645,1.1619887,106.23,-0.0008888448,3.607799,0.0070483526,18000,0.8165473490953445,0.14657769,72,16.774643320292235,0.086532
1825000,60.29846906661987,60514,1.2071855,101.94,-0.0015650634,3.6002889,0.0055745854,18250,0.8107821941375732,0.14843932,73,16.283336340785027,0.064320005
1850000,61.08959150314331,61611,1.1079121,108.07,-0.0026621004,3.594378,0.0060003162,18500,0.830070286989212,0.14705156,74,17.225869562476873,0.074044
1875000,61.87325072288513,60915,1.0066979,113.03,-0.0013199218,3.587873,0.0048278198,18750,0.849854975938797,0.14776604,75,18.147757363170385,0.056172002
1900000,62.68387484550476,58969,1.2180712,108.18,-0.002930419,3.5838363,0.0046502585,19000,0.822313129901886,0.14689364,76,17.292913802936674,0.052688003
1925000,63.50465393066406,59658,1.1956667,97.65,-0.0028661976,3.5783973,0.005884369,19250,0.8252486139535904,0.146229,77,15.525790811553598,0.071252
1950000,64.3062515258789,59953,1.1199555,102.38,-0.0020962465,3.5710588,0.0060014385,19500,0.8324075639247894,0.14616932,78,16.256133715957404,0.073828
1975000,65.10567331314087,59352,1.2127488,112.72,-0.0020683412,3.5641105,0.007299155,19750,0.8231346905231476,0.14835681,79,17.91911297738552,0.090616
2000000,65.92410445213318,60302,1.2000945,105.85,-0.0028325948,3.5570827,0.003785054,20000,0.8275596797466278,0.14697017,80,16.73712093874812,0.039004005
2025000,66.7389063835144,58852,1.1107067,118.52,-0.0032293112,3.5503972,0.005271818,20250,0.8306932896375656,0.14950018,81,19.025023263171317,0.06114
2050000,67.54778337478638,58682,1.2051786,101.44,-0.003585751,3.541577,0.0067794113,20500,0.8222389817237854,0.14772265,82,16.315068451315163,0.08414
2075000,68.3525698184967,61416,1.0657879,107.59,0.00047064814,3.5303867,0.008014882,20750,0.8421288430690765,0.14712873,83,17.057931360825897,0.096811995
2100000,69.13407945632935,60300,1.2540594,101.29,-0.002313263,3.524828,0.0056130434,21000,0.8135940134525299,0.14727631,84,16.055602550059557,0.065108
2125000,69.92610883712769,59386,1.158732,120.02,0.0011260407,3.521113,0.008595953,21250,0.8254382014274597,0.15016915,85,18.987633522376417,0.106639996
2150000,70.70378565788269,58435,1.2374747,110.59,-0.0015085826,3.518074,0.0047619,21500,0.8132604658603668,0.14979377,86,17.763004616424443,0.052127995
2175000,71.52806162834167,59293,1.1790233,108.64,-0.0027147308,3.5139878,0.0052401703,21750,0.8293729722499847,0.14965421,87,17.53109699755907,0.060035996
2200000,72.34338855743408,60106,1.262835,116.8,-0.0024202515,3.5099938,0.0050307806,22000,0.8112491220235825,0.14916785,88,18.687775949239732,0.057515997
2225000,73.15341758728027,60476,1.2157524,119.61,-0.0035801264,3.5055454,0.006779494,22250,0.8171928077936172,0.14879493,89,19.061743707209825,0.0846
2250000,73.9541449546814,60843,1.2691004,122.06,-0.004347425,3.4978516,0.006112615,22500,0.8066225945949554,0.14910762,90,19.37150115288794,0.073672004
