ep_reward_mean,time_elapsed,n_updates,total_timesteps,policy_loss,policy_entropy,fps,true_reward,ep_len_mean,explained_variance,clipfrac,approxkl,value_loss,serial_timesteps
1.74010042488575,0.0011353492736816406,1,25000,0.33370218,5.675779,7618,0.17836498,9.03,-8.747896194458008,0.76462805,17988044.0,17979.615,250
1.3498117503523828,3.9181811809539795,2,50000,0.3978393,5.675784,52896,0.17789654,7.0,-8.43747329711914,0.791524,302435.2,15593.76,500
1.1514939405024052,4.869220972061157,3,75000,0.3995525,5.6758285,50189,0.17763008,5.96,-10.204788208007812,0.78098804,1660945.2,13269.287,750
1.3847201886773108,5.835117340087891,4,100000,0.380318,5.6759934,54151,0.17788486,7.18,-8.051135063171387,0.77908003,512936.7,12229.713,1000
1.4561125461757183,6.786178112030029,5,125000,0.3957584,5.676118,52636,0.17818907,7.55,-6.832332611083984,0.76991594,126311.336,10976.235,1250
1.4811258642375469,7.74531888961792,6,150000,0.371972,5.6763062,52999,0.17828658,7.68,-6.773589611053467,0.819644,31174134.0,8818.148,1500
1.4859940272569656,8.686649560928345,7,175000,0.37658656,5.6765747,54447,0.17815834,7.71,-7.274317741394043,0.829696,3177167.2,9866.395,1750
1.3915530118346213,9.626015424728394,8,200000,0.38015348,5.6767893,54618,0.17795314,7.22,-8.07936954498291,0.81574,2217364.0,9751.064,2000
1.2690712007880212,10.553903102874756,9,225000,0.3954174,5.6769376,52539,0.17787793,6.59,-9.017723083496094,0.81605595,7432224.0,10099.653,2250
1.3906744842231273,11.496699810028076,10,250000,0.36867732,5.6772075,54030,0.1779227,7.23,-8.752365112304688,0.82503605,7563430.5,8598.208,2500
1.509500940144062,12.427160024642944,11,275000,0.36443844,5.6773977,54833,0.17740005,7.83,-8.303851127624512,0.81583595,83467350.0,8257.799,2750
1.4266698810458183,13.365721702575684,12,300000,0.34865642,5.677523,53060,0.17562714,7.41,-10.419827461242676,0.79854,11310627.0,10748.411,3000
1.5596693886816502,14.318511962890625,13,325000,0.35280952,5.677659,54422,0.17566903,8.1,-9.626611709594727,0.773304,819970.7,7533.846,3250
1.6142937894165517,15.260320663452148,14,350000,0.34927997,5.6777425,53138,0.17563117,8.38,-9.523344039916992,0.761668,315585.75,8106.999,3500
1.4311850140988827,16.2137930393219,15,375000,0.3999858,5.6778936,53384,0.17555004,7.43,-8.617938995361328,0.769228,142942.03,7233.553,3750
1.4490792998671531,17.154789924621582,16,400000,0.3101198,5.6781473,56449,0.17569791,7.52,-7.885200500488281,0.790596,4862969.5,4554.6045,4000
1.4592308005690575,18.073995351791382,17,425000,0.33457398,5.678256,55516,0.17562933,7.57,-8.572458267211914,0.805768,34612470.0,3338.9067,4250
1.454020098000765,18.98962140083313,18,450000,0.3071432,5.6783757,56079,0.1757503,7.54,-9.964849472045898,0.7762879,2343904.0,2397.864,4500
1.3898963338136674,19.917969942092896,19,475000,0.29806453,5.6784463,53952,0.17567186,7.21,-10.722797393798828,0.794776,15247219.0,1492.2527,4750
1.4022849744558334,20.96082353591919,20,500000,0.29720405,5.6786795,52576,0.17559949,7.27,-9.912369728088379,0.810904,629872260.0,997.7576,5000
1.1578595788776875,21.942546367645264,21,525000,0.3104108,5.679101,51867,0.1751137,6.0,-13.901247024536133,0.80564404,16125006.0,1022.55927,5250
1.068043945580721,22.9182186126709,22,550000,0.2978496,5.6793756,53923,0.17555623,5.54,-14.100622177124023,0.771212,1248336.8,926.2495,5500
1.341200994104147,23.85165047645569,23,575000,0.2603671,5.6796374,53923,0.1775668,6.96,-17.55172348022461,0.77915204,64291.46,11403.734,5750
1.285347894281149,24.810401678085327,24,600000,0.22242847,5.6799765,54599,0.17750444,6.67,-20.304147720336914,0.804992,13276394.0,4131.8633,6000
0.9987208671867848,25.742273569107056,25,625000,0.3331892,5.680461,54008,0.17566766,5.16,-24.64973258972168,0.80546796,8256798.5,297.10242,6250
1.1329247933626174,26.700475931167603,26,650000,0.18999022,5.6807494,56179,0.17561853,5.86,-17.554433822631836,0.8185881,58671156.0,110.73436,6500
1.2459176906943321,27.636269092559814,27,675000,0.2468091,5.6807775,54305,0.17558895,6.45,-15.529739379882812,0.80245197,3649216000.0,66.53722,6750
1.3671923339366914,28.58332061767578,28,700000,0.32101867,5.6805506,54565,0.17518383,7.12,-10.618392944335938,0.822744,719731700.0,47.747086,7000
0.9703455536067486,29.545125007629395,29,725000,0.3282247,5.680639,54797,0.17490727,5.04,-15.939413070678711,0.818144,67914190.0,81.42769,7250
1.0842002569139004,30.504873275756836,30,750000,0.16362073,5.681,54972,0.174895,5.63,-17.649173736572266,0.816332,958554.9,48.625805,7500
0.97627302095294,31.47018599510193,31,775000,0.15407428,5.6811466,53561,0.17479953,5.07,-10.789937019348145,0.814932,152065.0,22.82233,7750
0.9255823825299739,32.4216468334198,32,800000,0.23641968,5.681266,53862,0.17475072,4.8,-11.813142776489258,0.813012,4128828000.0,18.769854,8000
0.9595963659882546,33.39042520523071,33,825000,0.22677413,5.6814303,53393,0.17559935,4.97,-10.99200439453125,0.81413203,41339800.0,49.165493,8250
1.5087793242931367,34.35837912559509,34,850000,0.19185778,5.681574,54295,0.17616525,7.85,-7.956630706787109,0.82544804,115826930.0,25.382273,8500
1.175461276769638,35.309426069259644,35,875000,0.16102077,5.681594,51230,0.17591402,6.11,-6.750328063964844,0.814408,96117810.0,32.075645,8750
1.0916199378669262,36.297263383865356,36,900000,0.297584,5.68183,54872,0.17579311,5.67,-6.04692268371582,0.788076,2300508.5,58.28832,9000
0.9111096115410328,37.24645233154297,37,925000,0.17790784,5.6824317,53520,0.17568038,4.73,-6.835949897766113,0.813364,96161870.0,69.53359,9250
