fps,value_loss,policy_entropy,total_timesteps,time_elapsed,clipfrac,ep_reward_mean,policy_loss,ep_len_mean,true_reward,serial_timesteps,approxkl,explained_variance,n_updates
58673,0.0060666623,1.6207578,875000,33.2815158367157,0.061767995,18.322000571117314,-0.0026056466,250.0,0.073288,8750,0.005205304,0.9727319683879614,35
58459,0.07242061,1.6121155,900000,34.08276343345642,0.066968,18.148559886311194,-0.0022353265,244.78,0.07248964,9000,0.00586727,0.8694974780082703,36
59565,0.028034383,1.6063697,925000,34.88619613647461,0.093132004,18.224311091670803,-0.0021684165,247.77,0.07306738,9250,0.0070693484,0.9172829985618591,37
58838,0.021700745,1.6011598,950000,35.67151927947998,0.028928,18.49176743816255,-0.001423246,248.48,0.0738938,9500,0.0033045958,0.9348057806491852,38
57452,0.016739322,1.5957397,975000,36.469675064086914,0.065731995,18.452556644241376,-0.0012849271,247.97,0.07385605,9750,0.005609246,0.9592410549521446,39
57813,0.0032638316,1.5905868,1000000,37.285003423690796,0.07636,18.523882447189244,-0.0008604536,250.0,0.07409553,10000,0.005959968,0.9837004374712706,40
59801,0.02920967,1.5845553,1025000,38.09099221229553,0.076652005,18.44399527334952,-0.002333846,248.46,0.07369431,10250,0.0062673525,0.9076205268502235,41
57282,0.027518556,1.5795914,1050000,38.893776655197144,0.0494,18.318677929966253,-0.0017098451,248.48,0.07316505,10500,0.004860475,0.9119751304388046,42
58215,0.0017865092,1.5734121,1075000,39.704811573028564,0.040111996,18.48690019322734,-0.0012594953,250.0,0.0739476,10750,0.003983403,0.9913311321288347,43
59616,0.068233386,1.5650775,1100000,40.510528326034546,0.080896,18.268662145242416,-0.0027012413,246.19,0.07312085,11000,0.0067066676,0.8232134431600571,44
58019,0.0032604015,1.558885,1125000,41.27801990509033,0.042564,18.382172295589534,-0.0012512055,250.0,0.07352869,11250,0.0042741126,0.9845949998125434,45
60250,0.029608736,1.5520971,1150000,42.07695460319519,0.075024,18.252130783271788,-0.001877136,247.67,0.07317727,11500,0.005823472,0.9035763889551163,46
56976,0.0021506906,1.5446827,1175000,42.84242248535156,0.045312002,18.53807919963281,-0.0013853072,250.0,0.07415231,11750,0.004344861,0.9885992547497153,47
58706,0.0017180843,1.5336478,1200000,43.66199707984924,0.033696,18.366568204729866,-0.0020125522,250.0,0.07346627,12000,0.003735999,0.9909919677302241,48
60101,0.0025024912,1.5196571,1225000,44.461363554000854,0.051636,18.26199998377837,-0.0019228498,250.0,0.073047996,12250,0.0048219482,0.9873702898621559,49
57747,0.0017787382,1.5067027,1250000,45.24701690673828,0.070768,18.32989345930655,-0.00022634593,250.0,0.07331958,12500,0.0055498886,0.9910697089508176,50
59906,0.019816265,1.497574,1275000,46.0414924621582,0.067251995,18.184697550418594,-0.003134627,247.93,0.07280391,12750,0.005589292,0.9489930421113968,51
57087,0.0016521697,1.4904273,1300000,46.814160108566284,0.054743998,18.417383520988807,-0.0013282773,250.0,0.07366954,13000,0.004886909,0.9917791411280632,52
56105,0.0014889652,1.4803169,1325000,47.621742248535156,0.056468,18.367951159706426,-0.0012300389,250.0,0.07347181,13250,0.0050702067,0.9928701827302575,53
57986,0.02723648,1.4692115,1350000,48.44085240364075,0.075884,18.15984500507726,-0.0018266272,247.75,0.072760746,13500,0.0060249805,0.921487607061863,54
56990,0.025780719,1.4632916,1375000,49.23118615150452,0.057752002,18.518489719033823,-0.001718531,248.47,0.07397474,13750,0.0051314086,0.9284947440028191,55
