approxkl,true_reward,total_timesteps,policy_loss,explained_variance,time_elapsed,serial_timesteps,ep_reward_mean,ep_len_mean,clipfrac,policy_entropy,n_updates,value_loss,fps
0.017897848,0.034656074,25000,0.00033576012,0.9372609928250313,0.0006306171417236328,250,9.004766668285088,244.4,0.17961998,2.5901523,1,0.060332425,3556
0.0049474584,0.035335235,50000,-0.0020773236,0.956810712814331,7.611836194992065,500,9.111604588169467,245.83,0.055483997,2.5889947,2,0.035586815,44379
0.0042525814,0.03740096,75000,-0.002436879,0.9636065624654293,8.601435899734497,750,9.4571462310497,247.04,0.047184,2.5887012,3,0.023976212,46133
0.0069259345,0.03755882,100000,-0.0026011872,0.9367809891700745,9.570559740066528,1000,9.552731766299877,247.62,0.087055996,2.5826852,4,0.036006987,40345
0.0071129994,0.033825032,125000,-0.0029447598,0.9019254669547081,10.581536531448364,1250,8.984024344524364,241.46,0.092776,2.5787244,5,0.10938032,58942
0.0041088173,0.032743447,150000,-0.0020419867,0.9589463919401169,11.412481784820557,1500,8.852517887950908,243.64,0.043324,2.5768974,6,0.055908084,58739
0.006521041,0.03306344,175000,-0.0017122232,0.9228812083601952,12.241222143173218,1750,8.859565755485747,240.64,0.083647996,2.5749626,7,0.10398527,56561
0.0054339515,0.033886526,200000,-0.0020806012,0.9566005691885948,13.105645895004272,2000,8.77960639227662,243.45,0.066052005,2.571548,8,0.043195114,54597
0.0037853918,0.035616085,225000,-0.0016036484,0.9646273776888847,13.961936235427856,2250,9.068311659553965,243.59,0.037143998,2.5687025,9,0.027031392,56534
0.006818584,0.034526072,250000,-0.0022442553,0.9561321288347244,14.79266619682312,2500,9.03798787828242,244.07,0.08658001,2.5659318,10,0.05005912,55645
0.006847524,0.035495758,275000,-0.0019417375,0.9253118187189102,15.644659519195557,2750,9.204866345868787,244.97,0.08923999,2.565072,11,0.059239697,57505
0.008025503,0.033252615,300000,-0.002296409,0.9382613971829414,16.479026317596436,3000,8.773849205391906,244.25,0.10259201,2.56294,12,0.08346168,56720
0.0056758374,0.032835785,325000,-0.0025077672,0.9423327073454857,17.315619945526123,3250,8.887293218482665,239.32,0.069444,2.564712,13,0.08390211,58505
0.0050062737,0.033826377,350000,-0.0020074034,0.9280866980552673,18.15364098548889,3500,9.116644013823242,244.82,0.057252,2.5644314,14,0.0922626,56367
0.0054259812,0.035468508,375000,-0.0025012386,0.9599689096212387,18.987162828445435,3750,9.198386608403526,244.69,0.06756,2.5625281,15,0.03404639,55572
0.0053426726,0.033027582,400000,-0.001976579,0.9310148656368256,19.85669493675232,4000,8.814123080505883,237.74,0.062195994,2.5612483,16,0.08958222,56239
0.0074202595,0.035860747,425000,-0.0018895587,0.9529014639556408,20.677329301834106,4250,9.179655174599029,246.93,0.09599601,2.5605175,17,0.031610183,56796
0.007839821,0.035700496,450000,-0.0020407871,0.9080516025424004,21.507763385772705,4500,9.036431208988297,247.8,0.102919996,2.5572917,18,0.05259738,55692
0.0058396664,0.0360075,475000,-0.0024567107,0.9587700180709362,22.356839418411255,4750,9.237036120628472,247.42,0.068604,2.554707,19,0.029313505,56350
0.006037145,0.036054675,500000,-0.0014240369,0.9739919006824493,23.193048000335693,5000,9.134188586276942,247.83,0.07695599,2.5550182,20,0.013468221,59160
0.0051573133,0.03544875,525000,-0.0021848863,0.8712256699800491,24.01059603691101,5250,9.117916097444576,245.91,0.060232002,2.5553117,21,0.08037179,58161
0.0066086194,0.036129497,550000,-0.0013488332,0.9530209898948669,24.814582347869873,5500,9.208831811312184,248.74,0.088372,2.5560665,22,0.02547503,55683
0.0051571163,0.035762787,575000,-0.0029055877,0.9575974009931087,25.653666496276855,5750,9.215820938249816,246.57,0.060627997,2.5560577,23,0.033002865,56410
0.0075270445,0.03578508,600000,-0.0020669955,0.9211292266845703,26.478185892105103,6000,9.219873335927586,245.78,0.100287996,2.5579247,24,0.05991127,55839
0.0066109607,0.0356583,625000,-0.002062219,0.9530639722943306,27.308785676956177,6250,9.105512506181439,246.64,0.084152,2.5608068,25,0.033473592,56005
0.010286604,0.032963287,650000,-0.0023973868,0.9428984485566616,28.125906944274902,6500,9.085793369830371,240.16,0.12130799,2.5669615,26,0.090389244,56238
0.0069003655,0.031627465,675000,-0.0022617572,0.883279375731945,28.96925640106201,6750,8.67514312097921,236.18,0.091832,2.5732112,27,0.1758656,56670
0.006108054,0.0356547,700000,-0.0015509754,0.9326824247837067,29.78872513771057,7000,9.300177415724137,245.2,0.07655999,2.5788934,28,0.059179973,56492
0.004318594,0.033096258,725000,-0.0024768715,0.9427944384515285,30.616371631622314,7250,9.013484023567198,240.42,0.046784002,2.583913,29,0.082967654,56060
0.0056757717,0.033405844,750000,-0.002391484,0.9565723463892937,31.438694715499878,7500,8.968595297985885,242.78,0.071035996,2.5876706,30,0.059574552,54893
0.0068190703,0.034922156,775000,-0.0021702263,0.9159177169203758,32.26964712142944,7750,9.134880165514641,243.5,0.090564005,2.5885644,31,0.085042514,55140
0.0077507324,0.034889366,800000,-0.0020930488,0.8874162659049034,33.10577988624573,8000,9.149096153354476,241.18,0.103968,2.5896587,32,0.1148558,55616
0.0049057207,0.03158396,825000,-0.0024122235,0.9362660199403763,33.925373554229736,8250,8.71239883210921,237.32,0.054344,2.5873995,33,0.11067252,57422
0.004976126,0.033993453,850000,-0.002195609,0.9590051472187042,34.742225646972656,8500,8.935391539721891,240.43,0.057139993,2.5850854,34,0.05795301,57672
0.009264914,0.03579765,875000,-0.0019685586,0.8746214658021927,35.55156397819519,8750,9.297338106016396,244.47,0.11896799,2.5844338,35,0.095730916,54946
0.004845402,0.035094164,900000,-0.002182065,0.9692985508590937,36.378074169158936,9000,9.097580856492968,243.68,0.054171998,2.5857759,36,0.032662798,57847
0.0051969597,0.03572478,925000,-0.0020751688,0.9759520068764687,37.19489359855652,9250,9.275574898755986,247.13,0.059964,2.586893,37,0.022653747,55825
0.005767036,0.03237411,950000,-0.001668353,0.8530030995607376,38.02942252159119,9500,9.02981799955829,238.62,0.0712,2.5852885,38,0.20145455,57310
0.009986226,0.035941176,975000,-0.0019155971,0.9152963310480118,38.858863830566406,9750,9.398742159523293,244.02,0.131584,2.5871127,39,0.0853704,57873
0.005393706,0.032773886,1000000,-0.0010255588,0.8744835406541824,39.68109321594238,10000,8.842526413065789,238.05,0.065979995,2.591002,40,0.16666718,57636
0.004878682,0.03440152,1025000,-0.0017168082,0.8436927050352097,40.51655697822571,10250,8.954863953861823,241.29,0.055699997,2.5940804,41,0.13613041,57133
0.004585522,0.034389187,1050000,-0.0020594413,0.926366426050663,41.34486150741577,10500,9.124398583947686,245.42,0.052100003,2.594783,42,0.07309172,56712
0.0058842576,0.036702327,1075000,-0.0021771616,0.9691670313477516,42.16260027885437,10750,9.436610018878055,247.3,0.071407996,2.5931108,43,0.025108393,57435
0.0065818042,0.034294028,1100000,-0.0014389751,0.9389288127422333,42.98017191886902,11000,8.880269225641241,238.96,0.082048,2.5870638,44,0.07721857,56314
0.0045595705,0.036169183,1125000,-0.0012754207,0.910345233976841,43.81213068962097,11250,9.295455231336017,243.27,0.051892,2.5811496,45,0.07859627,57383
0.0046311794,0.036197882,1150000,-0.0017386436,0.9281008541584015,44.623889446258545,11500,9.317475997818983,245.82,0.052508004,2.5761118,46,0.058956653,56779
0.0054120403,0.035840817,1175000,-0.0016062746,0.9600531533360481,45.45537996292114,11750,9.33414297789206,245.53,0.064884,2.5730577,47,0.041578993,56409
0.0051350994,0.036099046,1200000,-0.0016814353,0.9051027297973633,46.28364586830139,12000,9.266048128958209,247.04,0.061084002,2.5701857,48,0.06892842,54452
0.0048512938,0.035764094,1225000,-0.0011568668,0.9291654452681541,47.14305281639099,12250,9.143596934301694,247.01,0.055928,2.5689533,49,0.040732227,55834
0.0044243345,0.033129174,1250000,-0.001886627,0.8924220055341721,47.96666479110718,12500,8.687216497515292,241.3,0.049852002,2.569736,50,0.10871905,55038
0.0045678737,0.03589209,1275000,-0.0013415037,0.8756956458091736,48.807947397232056,12750,9.245462353955954,245.31,0.052484,2.5708013,51,0.087118104,56527
0.0059339944,0.033969015,1300000,-0.0022926617,0.9057830646634102,49.627970695495605,13000,8.863927174572819,237.37,0.073872,2.5707757,52,0.11369617,55586
0.0036524502,0.03325469,1325000,-0.0014578644,0.8692951798439026,50.45566749572754,13250,8.803305490090816,240.29,0.037072,2.5731406,53,0.124379635,57274
0.004030941,0.034601044,1350000,-0.001914737,0.8946936130523682,51.276287317276,13500,8.889277889402184,242.95,0.043327995,2.5754743,54,0.084226,58115
0.00865306,0.034032006,1375000,-0.0016650526,0.8509993404150009,52.0891535282135,13750,8.797501449511401,238.78,0.11393599,2.57567,55,0.14513895,57469
0.004118372,0.035861637,1400000,-0.002686729,0.9486757628619671,52.90346050262451,14000,9.24339566265935,243.71,0.045280002,2.5747256,56,0.047976803,55419
0.005085106,0.03521637,1425000,-0.0013664513,0.8847672194242477,53.75070571899414,14250,9.230401843052569,244.34,0.057591997,2.5750358,57,0.10942267,54987
0.0058783693,0.038046367,1450000,-0.0014099892,0.9744591452181339,54.58547806739807,14500,9.577842701694898,249.09,0.07368,2.5761178,58,0.013796945,55930
0.0057633338,0.03475147,1475000,-0.0021461095,0.8331447094678879,55.421180725097656,14750,8.852005341270306,238.81,0.06944,2.5720885,59,0.11991403,57413
0.005419216,0.035303168,1500000,-0.0018622223,0.9039869233965874,56.23659420013428,15000,9.185633223197655,240.69,0.064916,2.567626,60,0.10552969,56720
0.0055220234,0.035041112,1525000,-0.0025095162,0.8584662526845932,57.060985803604126,15250,9.113403600031415,244.76,0.064252004,2.5661974,61,0.10593305,56264
0.0050839027,0.035010975,1550000,-0.0020514498,0.9262131303548813,57.88345456123352,15500,9.001274001682031,245.17,0.058603995,2.56324,62,0.061720423,56939
0.006207961,0.0345786,1575000,-0.0016009785,0.8777597770094872,58.70771813392639,15750,9.087579582876133,240.92,0.07808,2.5577028,63,0.13380627,55802
