serial_timesteps,true_reward,value_loss,ep_reward_mean,explained_variance,approxkl,ep_len_mean,policy_entropy,policy_loss,total_timesteps,time_elapsed,n_updates,fps,clipfrac
8750,-0.033750426,0.26269352,1.5946789466661357,0.9173890426754951,0.003071994,85.27,5.567762,-0.0022201086,875000,36.50967359542847,35,54807,0.026832
9000,-0.0362494,0.27823418,1.4183545184579271,0.9062459841370583,0.002297368,75.88,5.5571575,-0.0015639954,900000,37.392374753952026,36,56032,0.016711999
9250,-0.03451776,0.22143027,1.664846631623841,0.9274120032787323,0.0023380853,78.94,5.5486364,-0.0014507609,925000,38.248979806900024,37,54527,0.017959999
9500,-0.039932795,0.265406,1.3138063284981922,0.9196013286709785,0.0022268177,73.74,5.5442476,-0.0018405818,950000,39.12423324584961,38,55308,0.019872
9750,-0.03763838,0.23525469,1.6457716433849419,0.922194592654705,0.0031466451,80.87,5.5424986,-0.0016892158,975000,40.17925763130188,39,45995,0.026244003
10000,-0.037447054,0.2654572,1.6376791397034685,0.9179320633411407,0.0021064384,75.62,5.537745,-0.0014726528,1000000,41.15417265892029,40,55147,0.015935998
10250,-0.03225472,0.23711462,1.892180013618131,0.926726721227169,0.003223955,91.11,5.5367317,-0.0019107902,1025000,42.031294107437134,41,50894,0.029616002
10500,-0.03792137,0.33889106,1.811646124952763,0.9011753648519516,0.003298189,81.73,5.5340123,-0.0017991554,1050000,42.97100234031677,42,52259,0.032463998
10750,-0.04068887,0.22137782,1.4452335164105352,0.9362659901380539,0.0019752532,71.73,5.5300894,-0.0010361944,1075000,43.89882040023804,43,45385,0.011924
11000,-0.033388656,0.19217072,1.553721258782848,0.9388961158692837,0.0016795399,80.26,5.527871,-0.0015500484,1100000,44.9268958568573,44,46848,0.011895999
11250,-0.036081318,0.22659843,1.6180558897257697,0.9285521283745766,0.002001648,80.64,5.5254464,-0.0012407766,1125000,45.96396327018738,45,41563,0.0135
11500,-0.035930697,0.21839766,1.493369116262013,0.931791752576828,0.0026980578,75.6,5.5215697,-0.0019003693,1150000,47.04874110221863,46,38204,0.021496
11750,-0.040129486,0.20936891,1.2566437630985137,0.9352705031633377,0.001969283,72.93,5.5162554,-0.0010634505,1175000,48.22817325592041,47,43647,0.013252
12000,-0.036515716,0.23167042,1.6789159716680206,0.9298858791589737,0.0029203151,87.14,5.512176,-0.0016704705,1200000,49.32431173324585,48,45362,0.022088
12250,-0.038667146,0.20842132,1.5300338287916384,0.9340847358107567,0.001975859,77.25,5.5055456,-0.0015529634,1225000,50.35646033287048,49,48534,0.013232
12500,-0.033853933,0.2525385,1.8608326141320708,0.9241723567247391,0.0024103113,77.32,5.4945974,-0.0017076358,1250000,51.33500647544861,50,45571,0.017868
