serial_timesteps,explained_variance,time_elapsed,policy_loss,clipfrac,value_loss,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,approxkl,total_timesteps,n_updates,fps
28500,0.9452027641236782,100.56055021286011,-0.0020251395,0.032612003,0.021782944,0.12181483119761992,58.23,0.0035406507,5.109824,0.0033008293,2850000,114,62092
28750,0.9411575570702553,101.39800143241882,-0.0022731954,0.032771997,0.023898304,0.23146476677319014,60.15,0.004619492,5.1059747,0.0035555747,2875000,115,58597
29000,0.9531638585031033,102.2499577999115,-0.0024049112,0.028964002,0.018062517,0.20648441485461264,66.47,0.003688645,5.1056595,0.0031112332,2900000,116,60415
29250,0.946745827794075,103.07713317871094,-0.002188725,0.021868002,0.020429432,0.2996491363950997,60.78,0.004210301,5.105132,0.002815168,2925000,117,61604
29500,0.9431918933987617,103.90163516998291,-0.0022981192,0.021340001,0.023105484,0.2662651087631923,62.74,0.003934889,5.1008425,0.0026425126,2950000,118,59389
29750,0.9577754102647305,104.73575472831726,-0.0020766433,0.022216002,0.01846769,0.23690569220890892,69.51,0.005272987,5.092701,0.0029257473,2975000,119,58931
30000,0.9490479342639446,105.57325410842896,-0.0023423103,0.028619999,0.020656213,0.19464000236499943,63.37,0.0040258327,5.0887322,0.002863985,3000000,120,62889
30250,0.9576339609920979,106.3758909702301,-0.0022584712,0.026924,0.0186041,0.11137367705804536,62.39,0.0047534904,5.085615,0.0029683944,3025000,121,62607
30500,0.9586477428674698,107.18489241600037,-0.0019775552,0.021900002,0.017910028,0.07470437895016985,59.89,0.0040176576,5.08334,0.0027001787,3050000,122,61069
30750,0.955072145909071,108.01818466186523,-0.002196926,0.020448,0.019003514,0.18574993101629844,62.77,0.003135805,5.080409,0.0025421262,3075000,123,59130
31000,0.9560205563902855,108.85880279541016,-0.002286891,0.030324,0.02193453,0.22959794631308797,61.9,0.00486597,5.0805717,0.0032436096,3100000,124,62237
31250,0.9565849751234055,109.6689863204956,-0.0023141915,0.025375998,0.020093782,0.3009110832764691,66.01,0.003646503,5.0812593,0.0029101442,3125000,125,62005
31500,0.9575192742049694,110.49121284484863,-0.0011262125,0.017684,0.017220221,0.4135679295372665,68.48,0.005056156,5.080535,0.0024093916,3150000,126,58497
31750,0.9539317153394222,111.34806084632874,-0.0019842186,0.0214,0.019433197,0.37003380516210654,66.94,0.0053790235,5.076658,0.002634295,3175000,127,60632
32000,0.9575071446597576,112.21116948127747,-0.00220912,0.022084001,0.019465372,0.2864038780392366,64.39,0.0054521407,5.07273,0.0026159757,3200000,128,60883
32250,0.9623207822442055,113.0292227268219,-0.0021819028,0.024672002,0.01535323,0.20785668706260366,63.34,0.0059036096,5.0675077,0.0029113814,3225000,129,62564
32500,0.9622672349214554,113.83862900733948,-0.0023235998,0.019563999,0.016347092,0.24654757178071235,66.54,0.006700972,5.0601025,0.0024291656,3250000,130,62352
32750,0.9614711068570614,114.66060304641724,-0.001960276,0.023496,0.01802089,0.3840268483354703,62.16,0.006569396,5.0518975,0.0027859411,3275000,131,61932
33000,0.961556926369667,115.50115871429443,-0.0022527028,0.033624,0.01852508,0.20679161771401597,63.41,0.0048053074,5.047036,0.0034111359,3300000,132,61548
33250,0.9585685953497887,116.32892918586731,-0.002313647,0.02414,0.019199004,0.4094273064004892,77.47,0.004786716,5.0417337,0.0028201828,3325000,133,61230
33500,0.9520483687520027,117.16213870048523,-0.0018524543,0.017532,0.022252481,0.12527522797091023,59.37,0.004044915,5.0320044,0.0021063155,3350000,134,61974
33750,0.9633857384324074,117.983553647995,-0.001652784,0.024908,0.01781736,0.24462719779108283,59.55,0.005673337,5.022951,0.0028613892,3375000,135,61359
34000,0.9556735344231129,118.80602788925171,-0.0025984917,0.042023998,0.019230548,0.3069760894506248,55.2,0.005911376,5.016345,0.0041184453,3400000,136,59692
34250,0.9460864141583443,119.65415859222412,-0.0020993315,0.023704002,0.02572613,0.22390819825892777,63.73,0.0032263824,5.012912,0.0026751088,3425000,137,63070
34500,0.9477359876036644,120.45778274536133,-0.0018253686,0.013108,0.022440176,0.22021341544296832,60.87,0.0061180224,5.0077987,0.0019452643,3450000,138,59581
34750,0.9576998725533485,121.29872155189514,-0.0019883388,0.028840002,0.020005954,0.25926663781458503,60.29,0.006811614,4.9998527,0.0030943875,3475000,139,61773
35000,0.9556752629578114,122.1282479763031,-0.0023529571,0.024380002,0.021136774,0.24996195040301245,61.4,0.007791503,4.991467,0.0029344582,3500000,140,61967
35250,0.9544600732624531,122.93694186210632,-0.0019450716,0.033855997,0.020301718,0.3443001921566014,68.07,0.0057271114,4.985997,0.0033492576,3525000,141,60549
35500,0.9554097279906273,123.76902937889099,-0.0019811671,0.02412,0.018759724,0.1828077178803352,64.08,0.0066807945,4.981963,0.0026626177,3550000,142,61761
35750,0.9633445627987385,124.590487241745,-0.0018261789,0.025184,0.015226898,0.3803048385692796,66.69,0.007048398,4.9736505,0.0027852282,3575000,143,61789
36000,0.9619283154606819,125.40946865081787,-0.002241839,0.025303999,0.017630598,0.19552046162449416,57.07,0.005360964,4.96503,0.0028139164,3600000,144,60720
36250,0.9582782946527004,126.24953985214233,-0.002458949,0.025612,0.01803765,0.3425867084351216,63.17,0.0066648354,4.959941,0.002844729,3625000,145,61939
36500,0.9568940699100494,127.06097078323364,-0.002081187,0.033267997,0.018037807,0.36595269943121594,70.21,0.007587466,4.9566097,0.0035769541,3650000,146,60846
36750,0.9596814960241318,127.88242673873901,-0.001549205,0.018468002,0.018914884,0.06908603925435514,62.66,0.0056934403,4.9499407,0.0023069691,3675000,147,61858
37000,0.9639250673353672,128.6907832622528,-0.0024815288,0.030611997,0.01647656,0.21865279980508148,61.32,0.0060134022,4.9461718,0.0032642572,3700000,148,62695
37250,0.9691849388182163,129.4979763031006,-0.0015289534,0.016192,0.015245964,0.2584951128443004,63.51,0.0061620795,4.9423623,0.002384706,3725000,149,62577
37500,0.9634736105799675,130.3451964855194,-0.00216799,0.026568001,0.016674882,0.3824811896794779,62.33,0.0069991117,4.939285,0.0029915061,3750000,150,61656
37750,0.9608281776309013,131.18652868270874,-0.0018116679,0.02448,0.017802963,0.2844960897278881,70.6,0.0065515595,4.934628,0.003044782,3775000,151,62397
38000,0.9584813974797726,132.10180115699768,-0.0022352757,0.029052,0.020522203,0.31477821497359515,71.33,0.007045749,4.934417,0.0030239825,3800000,152,52802
38250,0.9722141083329916,132.99838662147522,-0.0018797811,0.019536,0.013866825,0.2995012360263036,66.4,0.008249322,4.9332237,0.0025542234,3825000,153,60915
38500,0.9705413393676281,133.81427550315857,-0.0019384411,0.021375999,0.015083106,0.32014925281933304,66.23,0.007816222,4.9295073,0.0026828756,3850000,154,62662
38750,0.961637731641531,134.62688517570496,-0.0028985296,0.038856003,0.017984703,0.21455344860348305,67.78,0.006759893,4.9232173,0.003717675,3875000,155,62847
39000,0.9664846509695053,135.43969631195068,-0.002088138,0.017755998,0.014599703,0.3053409919119395,58.96,0.007825046,4.920562,0.0021438228,3900000,156,62195
39250,0.96101488545537,136.2571165561676,-0.0022010258,0.030639997,0.015372016,0.18563495661540855,62.47,0.0067029106,4.920037,0.0032489381,3925000,157,62220
39500,0.9674938917160034,137.08569073677063,-0.0024666719,0.029824,0.013633718,0.29220896325509327,65.88,0.007404332,4.9134603,0.0031488263,3950000,158,60015
39750,0.9689292032271624,137.99946570396423,-0.002218806,0.020244,0.014233142,0.35693664280983856,70.23,0.00742049,4.9047613,0.00250274,3975000,159,58717
40000,0.9575453847646713,138.8795280456543,-0.0016999617,0.02282,0.018433027,0.3651643405429947,64.14,0.008113982,4.89742,0.0026802563,4000000,160,51730
40250,0.9480339735746384,140.00368332862854,-0.0024172317,0.03184,0.023106039,0.2719750231414235,68.84,0.0069814534,4.890309,0.0035042888,4025000,161,57196
40500,0.9594585336744785,140.94181942939758,-0.0022083446,0.028564,0.017353397,0.26623518657298406,58.55,0.0066373,4.8860717,0.0031270597,4050000,162,60677
40750,0.9708599485456944,141.77911615371704,-0.001593044,0.020804,0.013313514,0.22781439287475222,67.86,0.0073660268,4.879315,0.0025985097,4075000,163,62755
41000,0.9571501016616821,142.60091638565063,-0.0020689857,0.022084,0.020237766,0.31639159631127994,73.08,0.007958472,4.87613,0.002780581,4100000,164,60713
41250,0.9570326805114746,143.44384026527405,-0.0028324279,0.037928,0.01777882,0.44234824631549374,72.65,0.0074264095,4.8726764,0.003692352,4125000,165,60706
41500,0.9622442312538624,144.28429889678955,-0.0021199826,0.030544002,0.016595043,0.24595314133553528,67.14,0.007596598,4.8698606,0.0031146635,4150000,166,61323
41750,0.9610266871750355,145.10861158370972,-0.002105939,0.025527999,0.017085021,0.0834660383198036,65.5,0.0059746834,4.8650084,0.0030413724,4175000,167,62702
42000,0.9642822965979576,145.91637635231018,-0.0020447357,0.019624,0.014668824,0.3736923368814496,64.39,0.009607312,4.8598166,0.0025394852,4200000,168,62700
42250,0.9677561931312084,146.7449688911438,-0.0020543789,0.018756002,0.012899083,0.10793966569495637,69.14,0.007411333,4.8556414,0.0023734784,4225000,169,62939
42500,0.9622097909450531,147.57117438316345,-0.002113987,0.018520001,0.016106445,0.2632583008045378,65.73,0.0071890973,4.8499804,0.0024292506,4250000,170,61227
42750,0.9734914246946573,148.3838906288147,-0.0025691434,0.038092,0.013535142,0.43006017497926907,69.9,0.008065398,4.8416686,0.0037423633,4275000,171,61479
43000,0.9663989916443825,149.20955276489258,-0.0018162157,0.016128,0.015128225,0.406690747158177,71.05,0.011142201,4.8342066,0.0021229605,4300000,172,60998
43250,0.9545290917158127,150.02780842781067,-0.001959225,0.030779999,0.02094099,0.3965989131677952,68.79,0.0066427025,4.8295507,0.0035468247,4325000,173,62465
43500,0.9699888955801725,150.84502530097961,-0.0020477888,0.022708,0.013331217,0.28186797647726963,64.66,0.00876643,4.8205996,0.0028092104,4350000,174,62404
