fps,true_reward,policy_loss,time_elapsed,n_updates,ep_reward_mean,explained_variance,policy_entropy,total_timesteps,approxkl,clipfrac,value_loss,ep_len_mean,serial_timesteps
7394,-0.042948227,0.02759245,0.00072479248046875,1,0.6945426638424397,-8.53580093383789,5.6757154,25000,0.032331105,0.26098,1.5900099,4.54,250
60002,-0.043649036,-0.00049767375,4.0406365394592285,2,0.6903036949038506,-0.2796710729598999,5.6754274,50000,0.0046411953,0.053811997,0.16330321,4.51,500
58964,-0.040011726,-0.002452464,4.975327730178833,3,0.6963201095163822,0.09872370958328247,5.673251,75000,0.006936893,0.087652,0.101414084,4.56,750
59718,-0.035548728,0.0013424894,5.90613055229187,4,0.7434393630921841,0.4132258892059326,5.672129,100000,0.009707963,0.126328,0.074818134,4.86,1000
60275,-0.032725587,-0.0064310036,6.846335172653198,5,0.6733909671008587,0.52156662940979,5.673027,125000,0.011085794,0.137188,0.06884806,4.4,1250
60442,-0.024536276,-0.007525178,7.769672155380249,6,0.8564833105355502,0.5464125275611877,5.6751046,150000,0.008884941,0.11024801,0.08126457,5.61,1500
59181,-0.007891359,-0.011475663,8.689051866531372,7,0.9986647960543632,0.5429389774799347,5.6825795,175000,0.012319719,0.144996,0.1370756,6.6,1750
60840,0.016280752,-0.011093247,9.615906000137329,8,1.4035512344539165,0.5552273392677307,5.6870475,200000,0.010645656,0.13691601,0.2177157,9.41,2000
60889,0.042461175,-0.010960011,10.504437923431396,9,1.9563815829902886,0.5541662573814392,5.68463,225000,0.010011081,0.13052002,0.32392177,13.31,2250
61653,0.058478605,-0.00780259,11.377771854400635,10,2.3206824600696563,0.5681043267250061,5.6800914,250000,0.010064325,0.125068,0.39695442,15.88,2500
61547,0.07239326,-0.006382429,12.231388092041016,11,2.8067349925637246,0.5517424643039703,5.676326,275000,0.006292677,0.076023996,0.4658424,19.44,2750
61424,0.0773427,-0.00417986,13.071890830993652,12,2.8651327800005673,0.5931739211082458,5.6699305,300000,0.0050949873,0.062892,0.45610324,19.87,3000
61681,0.0806245,-0.0025164275,13.940706491470337,13,3.0107235853374004,0.6113278567790985,5.6648436,325000,0.0052838395,0.063544,0.46557903,20.88,3250
62493,0.08258547,-0.0015284916,14.793100833892822,14,2.8956518927961588,0.6358356773853302,5.662611,350000,0.0043670726,0.047151998,0.48522466,20.06,3500
60177,0.08502201,-0.0029815198,15.614011764526367,15,3.107743406742811,0.6485436260700226,5.662064,375000,0.0048249858,0.055259995,0.47135037,21.74,3750
63434,0.08474037,-0.0009340743,16.45900869369507,16,2.8711826146394013,0.6608759462833405,5.66349,400000,0.007461679,0.096452005,0.46126455,19.91,4000
60932,0.085175164,-0.0033356554,17.266655683517456,17,2.6763785829395057,0.6805401742458344,5.661643,425000,0.0042545744,0.044199996,0.44985557,18.44,4250
62121,0.0867829,-0.0034238629,18.110546827316284,18,3.0721803322434424,0.7065510153770447,5.647368,450000,0.0052810768,0.054812003,0.43645996,21.37,4500
62685,0.08696346,-0.0035671326,18.94263219833374,19,2.886169342175126,0.7318492531776428,5.634736,475000,0.005032637,0.055832,0.41415396,20.09,4750
60260,0.08783296,-0.002810362,19.77105450630188,20,2.9389349266886713,0.73981773853302,5.630186,500000,0.004474863,0.048308,0.42954928,20.42,5000
63389,0.08907524,-0.0023396267,20.6307475566864,21,3.422200919389725,0.756193682551384,5.6217275,525000,0.0050851554,0.059384,0.4264484,23.91,5250
62206,0.09025127,-0.002618732,21.4456148147583,22,3.725056762099266,0.743449479341507,5.611519,550000,0.0048776963,0.055024005,0.47894096,26.22,5500
61278,0.08941094,-0.0021681245,22.25981569290161,23,3.2939112525433303,0.7495226562023163,5.603718,575000,0.0048977192,0.058396,0.4497086,22.97,5750
61363,0.09047985,-0.0024171236,23.096936225891113,24,3.170438240990043,0.7438467442989349,5.597096,600000,0.004580602,0.049767997,0.490225,22.01,6000
60660,0.09103308,-0.002915804,23.92950749397278,25,3.2783225743472575,0.7570586651563644,5.5912194,625000,0.004633275,0.048752002,0.4671247,22.74,6250
62242,0.09252613,-0.0030618038,24.764172554016113,26,3.7668819016218187,0.7597170174121857,5.5845413,650000,0.0039910395,0.039324,0.5140269,26.01,6500
62694,0.092937335,-0.002117543,25.59951090812683,27,3.8814738573879004,0.7662801146507263,5.573905,675000,0.0044608004,0.04888,0.50514156,26.92,6750
61179,0.092752814,-0.0017240386,26.42642307281494,28,4.010754816010595,0.7536410838365555,5.5605927,700000,0.0037747342,0.037799995,0.54649276,28.02,7000
63910,0.092876896,-0.002359987,27.250836610794067,29,3.4438549131155014,0.7374863028526306,5.5520926,725000,0.0058537917,0.062776,0.5887168,23.78,7250
48956,0.093106985,-0.0018551473,28.060370683670044,30,3.30797140493989,0.7493411898612976,5.545503,750000,0.0044365693,0.046331994,0.5670644,23.16,7500
63525,0.09393088,-0.0027527406,28.99008846282959,31,3.842912555411458,0.7537161111831665,5.5391955,775000,0.00502384,0.055164002,0.5837428,26.82,7750
62363,0.093303196,-0.002065352,29.806831121444702,32,3.3532384642213584,0.754876434803009,5.533953,800000,0.005262322,0.061148,0.55607116,23.22,8000
62279,0.093590476,-0.0015182561,30.61249327659607,33,3.491714180111885,0.7523275762796402,5.526064,825000,0.0047459016,0.05424,0.5697449,24.07,8250
62947,0.09417928,-0.001881114,31.4370596408844,34,3.773874467909336,0.7605814784765244,5.516868,850000,0.006040213,0.072376,0.5471839,26.36,8500
