policy_entropy,clipfrac,serial_timesteps,policy_loss,n_updates,time_elapsed,fps,true_reward,total_timesteps,explained_variance,approxkl,value_loss,ep_reward_mean,ep_len_mean
5.584179,0.014168,8750,-0.0015125182,35,35.640464782714844,55895,0.018396722,875000,0.8895314261317253,0.0020645135,0.04546539,1.6692852113990455,73.46
5.580205,0.018064,9000,-0.001362974,36,36.51028561592102,55345,0.019741781,900000,0.8845698535442352,0.0023240536,0.041855555,1.7304384800313346,79.91
5.577483,0.011740001,9250,-0.0013874309,37,37.4399778842926,56156,0.021884443,925000,0.8745040744543076,0.0018433885,0.05132266,1.6423955207896141,75.57
5.5746717,0.015460001,9500,-0.0011687085,38,38.31216502189636,55542,0.019226506,950000,0.8800244852900505,0.0021539275,0.048675377,1.6330351808701926,73.18
5.5728383,0.010156,9750,-0.0011768814,39,39.16410207748413,55530,0.021714253,975000,0.8868594691157341,0.0016850189,0.04873929,1.8772352841353404,85.09
5.5680175,0.028159996,10000,-0.0021870097,40,40.05268931388855,57233,0.019364199,1000000,0.8852903768420219,0.0030299213,0.043105587,1.6615335122165924,74.74
5.5605936,0.022968002,10250,-0.0017939095,41,40.89178013801575,58639,0.02076271,1025000,0.8871959373354912,0.0026875008,0.04719762,2.0955270470397136,84.75
5.5553966,0.040024,10500,-0.002148842,42,41.70327687263489,58293,0.020226266,1050000,0.8908184245228767,0.0037363053,0.048933215,1.8834932022924749,74.08
5.5522337,0.013855999,10750,-0.0012703707,43,42.512728691101074,53517,0.019503241,1075000,0.9029065072536469,0.002080325,0.041215934,1.5290777384748366,72.79
5.547817,0.00996,11000,-0.0013116967,44,43.36879253387451,55701,0.01896874,1100000,0.8895692080259323,0.001688088,0.05492281,1.6252668641777472,74.42
5.5452805,0.008599999,11250,-0.001503047,45,44.19803762435913,56570,0.02165929,1125000,0.9004988521337509,0.0015599218,0.04121425,1.8834789237695986,81.02
5.545024,0.02448,11500,-0.0023008704,46,45.02359938621521,41255,0.02109917,1150000,0.9031543657183647,0.0028131164,0.04441231,1.4394682375031016,68.03
5.543622,0.008572,11750,-0.00096329796,47,46.01405358314514,57657,0.023086248,1175000,0.8897411674261093,0.0016776947,0.04627774,1.5806488400458907,68.73
5.5373573,0.017936,12000,-0.0016339613,48,46.8393657207489,59105,0.021485472,1200000,0.901578851044178,0.0024636704,0.041717023,1.7783382198239996,74.5
5.5330496,0.021632,12250,-0.0018765219,49,47.761542081832886,45663,0.020473816,1225000,0.9081809595227242,0.0025737756,0.041007645,1.4956142154796999,63.54
5.529975,0.028812,12500,-0.0020734721,50,48.96250557899475,50505,0.023210466,1250000,0.9026825800538063,0.0033014815,0.044304844,1.9913800315780827,79.77
5.5248256,0.01722,12750,-0.0015588815,51,49.8606071472168,54774,0.022267098,1275000,0.8926118612289429,0.0022534367,0.0434243,1.8566067680149172,79.1
5.5197105,0.023295999,13000,-0.0019656615,52,50.82654356956482,57583,0.022034781,1300000,0.8937994986772537,0.0027112982,0.047393717,1.5588573502078362,66.68
5.5149794,0.01754,13250,-0.0018487333,53,51.689281940460205,58001,0.024181345,1325000,0.9076615944504738,0.0024166568,0.045610704,1.7139965009866318,69.0
5.5073857,0.025944,13500,-0.0018872421,54,52.52106499671936,57816,0.023821937,1350000,0.8969779461622238,0.0029054594,0.045346245,1.840139804752598,73.85
5.5025826,0.03448,13750,-0.0026539487,55,53.3498899936676,55633,0.022136724,1375000,0.8857873380184174,0.003487482,0.05904668,1.4124048292878797,60.12
5.4984193,0.018172,14000,-0.0014537654,56,54.25630569458008,54957,0.022871386,1400000,0.9121027663350105,0.0025094198,0.04263968,1.7085754677958176,72.05
5.4897356,0.016776,14250,-0.0019364338,57,55.201290130615234,47987,0.023385715,1425000,0.9230654016137123,0.0020770233,0.038357526,1.6790646584351634,67.51
5.4778214,0.021456,14500,-0.001668718,58,56.303282260894775,55369,0.023497088,1450000,0.9023200124502182,0.0024900571,0.039439075,1.648000215943727,71.15
5.4685187,0.015896,14750,-0.001714994,59,57.14042282104492,57155,0.022850461,1475000,0.9061493650078773,0.0017842643,0.044216283,1.6201902123611944,68.68
5.463783,0.03232,15000,-0.0023911248,60,57.99750876426697,56452,0.023625452,1500000,0.9007844105362892,0.0033618254,0.04519645,1.7066241681765246,70.02
5.458268,0.022599999,15250,-0.0014787744,61,58.8389892578125,57034,0.02343211,1525000,0.9341062679886818,0.0029081525,0.029471043,1.937041819647802,77.27
5.4505873,0.030736,15500,-0.002038686,62,59.695307970047,57925,0.024259433,1550000,0.9219597950577736,0.003114561,0.032187395,1.7603174873869285,75.78
5.444007,0.017504001,15750,-0.0012896752,63,60.542977809906006,49444,0.024008472,1575000,0.9339559078216553,0.0026159137,0.031118294,1.698629970981674,65.49
5.4340568,0.022400001,16000,-0.001966593,64,61.51613640785217,56690,0.024575695,1600000,0.9370028302073479,0.0027378865,0.03214368,1.859869648385975,77.0
5.424931,0.01678,16250,-0.0014780868,65,62.361368894577026,56936,0.023325447,1625000,0.9231828302145004,0.0024280266,0.034346692,1.7982891579485294,75.03
5.4161806,0.02744,16500,-0.0023554699,66,63.2251410484314,57063,0.024812559,1650000,0.9214912578463554,0.002958096,0.041311324,1.8159149565074495,74.14
5.4079456,0.020456001,16750,-0.0018204743,67,64.0795750617981,56598,0.02306794,1675000,0.9115954712033272,0.0026203482,0.040587746,1.7455466871645993,75.44
5.3993692,0.021988,17000,-0.0015425651,68,64.94882130622864,56744,0.02347861,1700000,0.9187387228012085,0.0026608205,0.038223512,1.8706634106818592,73.18
5.390847,0.017696002,17250,-0.0016165603,69,65.80883550643921,56873,0.02440317,1725000,0.928884856402874,0.002333634,0.037099525,2.0387098689412233,83.34
5.385491,0.009192,17500,-0.0012833851,70,66.6666305065155,56071,0.02423645,1750000,0.9256406798958778,0.0014292586,0.03490827,1.753006909393207,71.64
5.379842,0.020804,17750,-0.0019493755,71,67.52134847640991,55240,0.023601782,1775000,0.9283742904663086,0.002481373,0.03647492,1.7534544547526456,71.72
5.374976,0.020256002,18000,-0.0014001228,72,68.38999271392822,56504,0.024344571,1800000,0.9204324632883072,0.0026058147,0.039563872,2.188668695563574,84.11
