value_loss,ep_reward_mean,true_reward,clipfrac,total_timesteps,time_elapsed,policy_loss,ep_len_mean,serial_timesteps,policy_entropy,approxkl,explained_variance,n_updates,fps
0.17728856,0.6968627266585827,-0.119518146,0.22578399,25000,0.0007014274597167969,-0.024260687,3.62,250,5.678346,0.016748702,-0.17049789428710938,1,7247
0.17809819,0.7838965374231338,-0.08332242,0.206564,50000,4.143406391143799,-0.016916495,4.07,500,5.6839304,0.017010013,-0.008457064628601074,2,51373
0.1818986,0.8009577348828316,-0.05267532,0.191492,75000,5.178822755813599,-0.016674643,4.16,750,5.6884584,0.014147399,0.10241162776947021,3,50994
0.20206246,0.8687254485487937,-0.023388937,0.140672,100000,6.269432067871094,-0.013638228,4.51,1000,5.6918125,0.010234263,0.18155115842819214,4,43262
0.21374631,0.9928040139377117,-0.0039528944,0.117308,125000,7.375285387039185,-0.010193261,5.16,1250,5.693719,0.008499298,0.23729443550109863,5,53291
0.2255884,0.960644397586584,0.015045955,0.092604004,150000,8.339536905288696,-0.009468977,4.99,1500,5.6936455,0.0069269305,0.300201952457428,6,47390
0.2340012,1.0854962395131589,0.02443855,0.071587995,175000,9.360445976257324,-0.0076129115,5.64,1750,5.6907644,0.0058569447,0.36116480827331543,7,53619
0.24189413,1.1886335994303225,0.033912025,0.089344,200000,10.311136722564697,-0.0064562075,6.18,2000,5.684818,0.007017345,0.41832536458969116,8,51707
0.24968047,1.4021301490068436,0.039763346,0.077776,225000,11.27692198753357,-0.0073723597,7.29,2250,5.677886,0.006205134,0.46514952182769775,9,50038
0.25201452,1.4501315385103226,0.045831475,0.08216,250000,12.265910387039185,-0.005601413,7.54,2500,5.6692295,0.006422738,0.5014334321022034,10,51546
0.25496417,1.4634981009364127,0.0495487,0.05334,275000,13.226794481277466,-0.004753707,7.61,2750,5.6604943,0.0046247505,0.5245822668075562,11,50984
0.25884816,1.4232240077853202,0.0532005,0.063788004,300000,14.179497241973877,-0.004656391,7.4,3000,5.6495676,0.005363857,0.5600536167621613,12,53034
0.26759166,1.5565411888062954,0.057005614,0.07957201,325000,15.11439061164856,-0.0029715884,8.08,3250,5.638504,0.00644579,0.5786934196949005,13,52785
0.27355018,1.335940969735384,0.058823053,0.069104,350000,16.056563138961792,-0.0044457037,6.95,3500,5.6301274,0.0056196474,0.6069848537445068,14,52294
