time_elapsed,ep_reward_mean,fps,policy_loss,clipfrac,serial_timesteps,total_timesteps,ep_len_mean,true_reward,n_updates,value_loss,policy_entropy,approxkl,explained_variance
0.0002269744873046875,0.0,7756,0.028307587,0.63660395,250,25000,0.0,-0.0029513547,1,0.43320853,5.6811867,0.3070715,0.26856863498687744
3.7373924255371094,0.0,46458,0.05014495,0.49805593,500,50000,0.0,-0.003051762,2,0.15308478,5.6820025,0.080172926,-0.31198668479919434
4.67235541343689,0.0,46830,0.01917423,0.600384,750,75000,0.0,-0.002491115,3,0.054747827,5.684961,0.15693426,0.6962894201278687
5.5937583446502686,0.0,46834,0.017001433,0.20151201,1000,100000,0.0,-0.0030818973,4,0.021640878,5.6880617,0.079249784,0.3685184121131897
6.507933855056763,0.0,47599,0.00017891808,0.07046799,1250,125000,0.0,-0.0023779487,5,0.022886503,5.6902003,0.0060912753,0.32897841930389404
7.404473543167114,0.0,47195,0.00024899765,0.044995997,1500,150000,0.0,-0.0022177123,6,0.022889359,5.6904893,0.0046513923,0.34781527519226074
8.311445474624634,0.0,46382,0.0004519418,0.075408,1750,175000,0.0,-0.001687944,7,0.02138558,5.6900077,0.00608745,0.5971116423606873
9.231844902038574,0.0,47109,0.011524056,0.1806,2000,200000,0.0,-0.0017742038,8,0.020029707,5.6919413,0.015288256,0.6048038601875305
10.137167692184448,0.0,46359,0.0073587163,0.282252,2250,225000,0.0,-0.0024890627,9,0.012894784,5.688712,0.024891581,0.5900244414806366
11.038782835006714,0.0,46965,0.0030130283,0.24331598,2500,250000,0.0,-0.0014743819,10,0.01891675,5.6813517,0.01816599,0.6613101363182068
11.94893193244934,0.0,47081,0.008384107,0.36856,2750,275000,0.0,-0.002226044,11,0.008439131,5.6758447,0.03936759,0.666458785533905
12.85901927947998,0.0,41076,0.0070119314,0.518276,3000,300000,0.0,-0.001603215,12,0.018937722,5.6744,0.14539987,0.6308923363685608
13.847094058990479,0.0,46755,0.0052235974,0.33286005,3250,325000,0.0,-0.0019297703,13,0.023868274,5.6714296,0.034414303,0.5408119559288025
14.750893592834473,0.0,47062,0.00014178718,0.055704005,3500,350000,0.0,0.0006932813,14,0.031288665,5.6647215,0.0053298427,0.6758829355239868
15.648928880691528,0.0,47828,0.008888779,0.18194,3750,375000,0.0,-0.00029294033,15,0.035573237,5.6557937,0.014939601,0.6830706596374512
16.568086862564087,0.0,46814,0.017202366,0.317628,4000,400000,0.0,-0.0018278847,16,0.018334996,5.650519,0.039913792,0.39624160528182983
17.472728729248047,0.0,45846,0.011262028,0.35496402,4250,425000,0.0,-0.00030796224,17,0.029659227,5.6473026,0.06093799,0.6260574460029602
18.3923122882843,0.0,46630,-0.00013838227,0.137772,4500,450000,0.0,-6.189037e-05,18,0.024559917,5.643981,0.01050164,0.6782364249229431
19.306469678878784,0.0,47464,-0.00015212924,0.12639599,4750,475000,0.0,0.00030675827,19,0.02265213,5.6402445,0.0093076285,0.6681290566921234
20.200578927993774,0.0,46199,-0.0005585273,0.10154001,5000,500000,0.0,0.001502398,20,0.041019943,5.6369467,0.0075660646,0.7564162909984589
21.104667901992798,0.0,46572,0.0029934552,0.19594002,5250,525000,0.0,0.0015402765,21,0.036281135,5.633382,0.015409723,0.7000111043453217
22.022132873535156,0.0,46050,0.0030518211,0.19904001,5500,550000,0.0,0.0023919835,22,0.05221041,5.6296887,0.017431859,0.6647897064685822
22.932167053222656,0.0,46815,0.0082961945,0.32893598,5750,575000,0.0,0.0049437303,23,0.06821276,5.6235785,0.03608474,0.7335489392280579
23.823857069015503,0.0,47051,0.008226512,0.07558001,6000,600000,0.0,0.005211687,24,0.06267172,5.614251,0.009261971,0.6875436305999756
24.7420392036438,0.0,46054,0.0062525896,0.10975599,6250,625000,0.0,0.005829496,25,0.071804866,5.608165,0.012513498,0.7251398265361786
25.66741943359375,0.0,46219,0.005923515,0.1286,6500,650000,0.0,0.011492926,26,0.08926857,5.6047907,0.010916571,0.7139564156532288
26.578859329223633,0.0,44025,0.0036323357,0.071732,6750,675000,0.0,0.009054322,27,0.087675914,5.5989356,0.006967639,0.7429598569869995
27.580491304397583,0.07264524385333061,44552,0.019971471,0.173992,7000,700000,0.37,0.016529687,28,0.118059374,5.593345,0.024512673,0.7321032285690308
28.56339931488037,0.0,46753,0.007018159,0.158272,7250,725000,0.0,0.022658868,29,0.20221055,5.588073,0.013049503,0.7564906924962997
