ep_reward_mean,approxkl,fps,true_reward,explained_variance,policy_entropy,n_updates,total_timesteps,time_elapsed,clipfrac,serial_timesteps,policy_loss,ep_len_mean,value_loss
9.790191870674644,0.005221621,3523,0.03866393,0.8980515673756599,3.8358884,1,25000,0.0006029605865478516,0.058468003,250,-0.00242467,229.73,0.15801024
9.352445202257313,0.0037027714,55743,0.036436792,0.8755779638886452,3.8343258,2,50000,7.630916595458984,0.039652,500,-0.002610904,226.61,0.19312163
9.566992391502572,0.0055998387,56792,0.037454635,0.8729490786790848,3.830438,3,75000,8.48783254623413,0.065372005,750,-0.0030014687,230.49,0.15869723
9.732150286214182,0.004143168,56466,0.038916435,0.9424980133771896,3.8309836,4,100000,9.318651676177979,0.043224,1000,-0.0018913109,239.94,0.07335891
9.923545957389942,0.0044662766,57854,0.039012138,0.9278936013579369,3.8340945,5,125000,10.170751094818115,0.050576,1250,-0.0013275931,232.46,0.109773435
9.77312315879306,0.0050589954,55923,0.037873305,0.8708159774541855,3.835888,6,150000,11.008234739303589,0.061508,1500,-0.0020727918,230.17,0.19787173
9.608986499117837,0.005077734,53925,0.038276333,0.9158740490674973,3.8358421,7,175000,11.863680362701416,0.060656,1750,-0.0015439795,231.29,0.1309365
9.945834097845,0.004738951,55027,0.03875258,0.8675528764724731,3.831248,8,200000,12.769006967544556,0.052896,2000,-0.0019867006,236.48,0.17132512
9.290909594797158,0.0050532497,54570,0.035205387,0.8643284142017365,3.825847,9,225000,13.668213605880737,0.060528,2250,-0.0008132344,224.72,0.25161034
9.703670436007515,0.004087242,52404,0.038485758,0.9183288216590881,3.8222275,10,250000,14.56469464302063,0.043072004,2500,-0.0021009576,238.75,0.09794957
9.774575151624877,0.0089111,57272,0.03789158,0.8796285465359688,3.8152122,11,275000,15.4586021900177,0.11733601,2750,-0.0020923794,232.14,0.18966651
9.517884152905062,0.005358405,54719,0.036979422,0.9182511046528816,3.8103626,12,300000,16.28626823425293,0.065708,3000,-0.0014844799,236.85,0.11652366
8.842777349345006,0.004754348,48330,0.032968197,0.8555517792701721,3.8076572,13,325000,17.206337451934814,0.051672,3250,-0.0021957888,225.56,0.25614366
10.008991811309643,0.0036250453,54762,0.039354254,0.8770913481712341,3.8046634,14,350000,18.155879259109497,0.035652,3500,-0.0019433422,231.57,0.18090199
9.893084640361703,0.0037327062,56210,0.039031986,0.9570089839398861,3.8029327,15,375000,19.04632258415222,0.037299998,3750,-0.0020261444,243.3,0.053718913
9.751699639586404,0.0047330037,56422,0.038892977,0.9217587634921074,3.8029323,16,400000,19.924489736557007,0.053352,4000,-0.0024188363,235.92,0.11035244
9.685762375045432,0.00594147,56518,0.038417872,0.8937072828412056,3.8000724,17,425000,20.756768465042114,0.075984,4250,-0.0016125364,232.5,0.15870094
10.651265081039163,0.004400688,57251,0.04230729,0.9172962680459023,3.7965367,18,450000,21.582815170288086,0.045388,4500,-0.0009827346,246.75,0.08160875
9.970333360709082,0.0046181916,57225,0.039307363,0.9358661621809006,3.7943943,19,475000,22.421265840530396,0.050952,4750,-0.0013253352,236.22,0.08227445
9.834827651151572,0.0043125767,57534,0.038951747,0.9035239815711975,3.7959924,20,500000,23.230786561965942,0.046871997,5000,-0.0014616966,234.14,0.122156814
10.259448719792308,0.0034182244,55494,0.04068783,0.927662268280983,3.792366,21,525000,24.048555612564087,0.030864,5250,-0.0018737719,233.68,0.10256616
10.028423537881462,0.004599965,55121,0.03929036,0.8898120746016502,3.7901034,22,550000,24.88714838027954,0.054372,5500,-0.0022955872,231.24,0.18023524
9.18093195550784,0.0041238763,56278,0.036064226,0.898828037083149,3.7906997,23,575000,25.72174906730652,0.046984002,5750,-0.0014544028,217.91,0.19520138
10.071256901981211,0.0035352453,55932,0.03985402,0.9395401068031788,3.7918587,24,600000,26.541609525680542,0.03692,6000,-0.002412315,239.6,0.076746106
10.77430588439278,0.0047033597,54899,0.041713823,0.885859414935112,3.7916672,25,625000,27.392642498016357,0.054832004,6250,-0.0018148052,241.38,0.15382765
9.957968251850106,0.003999577,54961,0.039366405,0.8876198008656502,3.7917092,26,650000,28.220684051513672,0.039804,6500,-0.0018744485,234.56,0.13241889
9.779968804329691,0.004359186,55450,0.03861912,0.9424660131335258,3.793425,27,675000,29.061798334121704,0.046416,6750,-0.0022585602,232.5,0.098501965
10.320326701974263,0.0042684698,53552,0.041415177,0.8942090421915054,3.7891707,28,700000,29.914108991622925,0.04598,7000,-0.0017025908,236.55,0.13073894
9.937123015779571,0.0023453082,54686,0.039781827,0.8681288957595825,3.7908294,29,725000,30.766846656799316,0.018956,7250,-0.0012100429,229.98,0.17675418
9.545871044377455,0.0057932124,55430,0.03698948,0.7977343201637268,3.7931945,30,750000,31.595059633255005,0.072552,7500,-0.0021754927,219.99,0.3238779
10.297585521117844,0.0044206036,53289,0.040549044,0.9022033289074898,3.7951972,31,775000,32.46836018562317,0.049072,7750,-0.0022828109,240.25,0.10233009
9.747642714679149,0.005427775,52292,0.038478028,0.8315559774637222,3.7963052,32,800000,33.35336494445801,0.066999994,8000,-0.002269078,220.95,0.28413463
10.665639176797589,0.003737618,53979,0.042334203,0.9302815273404121,3.795689,33,825000,34.25843906402588,0.036844,8250,-0.0022161077,243.55,0.08435535
9.68217149523698,0.003464058,52633,0.037656017,0.8929439410567284,3.7929988,34,850000,35.124425411224365,0.035968,8500,-0.0011863457,225.56,0.20981243
10.39250119113096,0.0034141995,54822,0.04104126,0.9252337664365768,3.7905178,35,875000,35.999425411224365,0.0306,8750,-0.0017413085,239.27,0.099567726
