time_elapsed,policy_entropy,total_timesteps,clipfrac,ep_len_mean,serial_timesteps,n_updates,value_loss,ep_reward_mean,true_reward,explained_variance,policy_loss,fps,approxkl
0.0007894039154052734,-5.6433535,25000,0.699044,250.0,250,1,0.2773343,94.17692880637944,0.37670773,0.9741899222135544,0.122256696,3130,0.8403637
8.527849912643433,-5.636939,50000,0.45539197,250.0,500,2,0.11033958,95.59476849578321,0.3823791,0.9864022228866816,0.037500143,56519,0.07287659
9.34382438659668,-5.632856,75000,0.27593198,250.0,750,3,0.11180351,95.40627369377762,0.38162512,0.9875718075782061,0.0076924735,49905,0.023163144
10.220944166183472,-5.6313434,100000,0.231896,250.0,1000,4,0.07780783,95.8592543867603,0.38343698,0.9923500623553991,0.0061191176,57226,0.01878659
11.015288829803467,-5.628938,125000,0.37931997,250.0,1250,5,0.07202963,95.79065844424069,0.38316262,0.9922142680734396,0.016569454,56842,0.042255595
11.818673372268677,-5.6273994,150000,0.30639598,250.0,1500,6,0.076659426,95.52843314763159,0.38211372,0.9909636611118913,0.01202933,56336,0.03216038
12.624484062194824,-5.627385,175000,0.335572,250.0,1750,7,0.08182697,95.81578878156841,0.38326317,0.9926546313799918,0.013537221,56367,0.03590852
13.421082973480225,-5.62701,200000,0.235056,250.0,2000,8,0.10469866,95.36345074996352,0.38145378,0.9893151195719838,0.0053350357,56402,0.019197669
14.210086107254028,-5.6280074,225000,0.27442798,250.0,2250,9,0.090679094,95.59683143440634,0.3823873,0.9880752312019467,0.0100920545,56258,0.024016755
15.021950244903564,-5.6288757,250000,0.299608,250.0,2500,10,0.07693608,95.87958186209202,0.3835183,0.9893815834075212,0.012726163,56415,0.02734148
15.832490921020508,-5.62755,275000,0.23136401,250.0,2750,11,0.071559764,95.96046217575669,0.38384187,0.9898085650056601,0.0069865487,56910,0.019930417
16.616095781326294,-5.624958,300000,0.227024,250.0,3000,12,0.08622126,95.68814277794212,0.38275257,0.9878713460639119,0.009971488,56506,0.022284737
17.404091119766235,-5.622491,325000,0.140008,250.0,3250,13,0.08562369,95.73650152526795,0.38294598,0.9879581406712532,-0.0006411384,58009,0.010784818
18.17387890815735,-5.621528,350000,0.220112,247.9,3500,14,0.54090357,94.88115412726998,0.38230368,0.9329130053520203,-0.00068517064,57971,0.019250311
18.957475185394287,-5.6215844,375000,0.17122,250.0,3750,15,0.089582786,95.46556446809322,0.38186225,0.989046186208725,0.0017694014,56805,0.012390417
19.75046968460083,-5.6220036,400000,0.27876398,250.0,4000,16,0.10483788,95.74571554999798,0.38298285,0.9908297136425972,0.013348877,57085,0.02700684
20.539446592330933,-5.6227384,425000,0.233044,250.0,4250,17,0.08364413,96.00141029659659,0.38400567,0.9916009698063135,0.007766299,57414,0.020428922
21.32483673095703,-5.624356,450000,0.367984,249.47,4500,18,0.6450892,95.09743221301585,0.38018164,0.9165992885828018,0.002745684,55994,0.07157333
22.167297840118408,-5.6247363,475000,0.18110402,250.0,4750,19,0.061596297,95.6306332846731,0.38252255,0.9918812811374664,0.0024828091,55040,0.013585557
22.993021249771118,-5.6233525,500000,0.24255998,250.0,5000,20,0.08112034,95.3009318260476,0.38120374,0.9898315025493503,0.0042984104,57851,0.020463623
23.781301498413086,-5.6217246,525000,0.260588,250.0,5250,21,0.07262981,94.9487564464286,0.37979504,0.9895905535668135,0.008545568,56120,0.024681786
24.59125542640686,-5.6197486,550000,0.249548,250.0,5500,22,0.06872793,95.61240672282875,0.3824496,0.991135748103261,0.006523764,56230,0.019689897
25.37513542175293,-5.618699,575000,0.171624,250.0,5750,23,0.07281788,95.58701492451131,0.38234806,0.9917371263727546,0.00078643253,57357,0.0125945285
26.15142560005188,-5.619084,600000,0.20976801,250.0,6000,24,0.066312104,95.7971589776501,0.38318866,0.9937462778761983,0.004123127,55537,0.015702674
26.955626726150513,-5.6183352,625000,0.20666401,250.0,6250,25,0.061737537,95.67104816030711,0.38268423,0.9922015224583447,0.0018140702,55588,0.015796969
27.764384508132935,-5.6166525,650000,0.298888,250.0,6500,26,0.07412337,95.09497866395861,0.38037992,0.9899806352332234,0.008178703,57076,0.02588827
28.556121587753296,-5.617163,675000,0.233284,250.0,6750,27,0.055500973,95.59184987250715,0.38236737,0.992135901004076,0.003683508,56359,0.017733961
29.35858464241028,-5.620122,700000,0.328928,250.0,7000,28,0.057259936,95.60586644332857,0.38242343,0.9939849469810724,0.011027835,57571,0.03384739
30.13949155807495,-5.6222486,725000,0.372976,250.0,7250,29,0.05500257,95.62527024384588,0.3825011,0.9929872816428542,0.016448226,57576,0.046007406
30.917064666748047,-5.6235056,750000,0.19586399,250.0,7500,30,0.049337454,95.66702231343835,0.38266808,0.9929977124556899,0.0025937583,56232,0.015392549
31.705535888671875,-5.6248484,775000,0.263628,250.0,7750,31,0.044790987,95.82039941299706,0.3832816,0.9937873664312065,0.0052022724,56957,0.02105332
32.496639013290405,-5.625222,800000,0.272424,250.0,8000,32,0.041227736,95.90860192872584,0.38363442,0.9945493065752089,0.00586467,57206,0.025841523
33.28155875205994,-5.6260767,825000,0.215812,250.0,8250,33,0.06312189,95.2247520918399,0.380899,0.9909019805490971,0.003339955,56616,0.016727734
34.06913685798645,-5.626553,850000,0.31680402,250.0,8500,34,0.053308737,95.21497778642923,0.3808599,0.9924850761890411,0.009987515,56114,0.031531136
34.85691261291504,-5.6217504,875000,0.3704,250.0,8750,35,0.04944111,95.447083392106,0.38178837,0.9929466308094561,0.018765012,56244,0.049835116
