true_reward,value_loss,approxkl,policy_loss,ep_reward_mean,total_timesteps,policy_entropy,serial_timesteps,time_elapsed,explained_variance,clipfrac,ep_len_mean,fps,n_updates
-0.04100723,1.133362,0.003361861,-0.0029923725,0.998622050917761,25000,5.6756277,250,0.0017008781433105469,-0.0023669004440307617,0.032376,52.29,4094,1
-0.038427867,0.94019604,0.0017650701,-0.002430256,0.5879823062021103,50000,5.675309,500,6.668112754821777,0.05366706848144531,0.014952001,43.26,62989,2
-0.022793338,0.6081339,0.0033600212,-0.0021350167,1.2284777189661054,75000,5.672038,750,7.484437942504883,0.11380612850189209,0.035848,67.66,62210,3
-0.021775542,0.5159658,0.0012515143,-0.0013334588,1.0069208939670033,100000,5.6636863,1000,8.302122116088867,0.23566192388534546,0.007096,53.47,61395,4
-0.017531823,0.41423187,0.0031075408,-0.001913297,1.502682615219162,125000,5.6591287,1250,9.127147912979126,0.3043055534362793,0.032208003,71.05,61403,5
-0.019173928,0.36773324,0.0024242494,-0.0017679915,1.108710265040484,150000,5.6592994,1500,9.96155834197998,0.3941236138343811,0.020104,56.32,62865,6
-0.015679892,0.31068155,0.0018807035,-0.0015131453,1.2321954019379973,175000,5.6564913,1750,10.778192520141602,0.4941691756248474,0.01316,61.41,61833,7
-0.016530413,0.26885277,0.0030143373,-0.0020847218,1.151791478957457,200000,5.654544,2000,11.595745325088501,0.5380910933017731,0.029992003,64.59,63196,8
-0.015521712,0.23922503,0.0020679268,-0.0011296781,1.2358841997770833,225000,5.6496434,2250,12.40392017364502,0.5843095481395721,0.014743999,68.37,61189,9
-0.014082829,0.23092489,0.0024391734,-0.0016584508,1.5033582922420168,250000,5.6459427,2500,13.243075847625732,0.6209203898906708,0.021668,77.15,61432,10
-0.01832143,0.24749455,0.0028072111,-0.001357815,1.294546900132791,275000,5.642089,2750,14.068727016448975,0.6032203137874603,0.024815999,72.52,61726,11
-0.015462334,0.18599828,0.0031145331,-0.0015566947,1.316417263335211,300000,5.642692,3000,14.913374900817871,0.7194470465183258,0.031476,69.25,58985,12
-0.0150654325,0.15572977,0.0013691753,-0.0006472862,1.3936902997914329,325000,5.6416807,3250,15.745419263839722,0.7736691683530807,0.005416,75.17,61024,13
-0.017054839,0.1610517,0.0035022139,-0.0016283445,1.2112035470187823,350000,5.634969,3500,16.57349157333374,0.7752223014831543,0.037676,72.71,59608,14
-0.012450063,0.16176279,0.0027591367,-0.0009767816,1.41748094614479,375000,5.6305466,3750,17.39245891571045,0.7941424548625946,0.024999999,69.95,59696,15
-0.012953635,0.13458216,0.0027690101,-0.0013466162,1.3027158192060586,400000,5.6277456,4000,18.224839687347412,0.8429854363203049,0.026155999,64.62,59998,16
-0.016433543,0.12515518,0.0010009708,-0.0010483324,1.1814296968448434,425000,5.6212554,4250,19.05719542503357,0.8570616245269775,0.00372,67.18,61029,17
-0.012959781,0.116048716,0.0026305818,-0.0015774226,1.5406587964190657,450000,5.614895,4500,19.87408423423767,0.8729255348443985,0.024675999,77.68,58907,18
-0.013273108,0.11741696,0.0012565776,-0.0013849589,1.391265449582163,475000,5.605046,4750,20.692858457565308,0.8791248798370361,0.007484,74.87,61973,19
-0.0116098635,0.09701416,0.0027072828,-0.0016334025,1.694664598038762,500000,5.5925417,5000,21.50291085243225,0.9045534655451775,0.025120001,84.66,61607,20
-0.013866109,0.12717463,0.0027888292,-0.0014807952,1.550658585744236,525000,5.584485,5250,22.325151920318604,0.8840668275952339,0.023692,74.11,60869,21
-0.012438073,0.115220726,0.0011480543,-0.0010022417,1.4344471718774048,550000,5.575249,5500,23.14095449447632,0.901506707072258,0.004148,69.22,62678,22
-0.009749525,0.09434054,0.0017178574,-0.0014706502,1.6029079855984947,575000,5.564269,5750,23.931006908416748,0.9249833077192307,0.009288001,74.5,60493,23
-0.009698473,0.094241664,0.002192201,-0.0018409968,1.6237597977847509,600000,5.5529504,6000,24.760250568389893,0.9202545061707497,0.017951999,85.8,61411,24
-0.011648409,0.11447406,0.0015304346,-0.0014501642,1.5880715293703724,625000,5.5422473,6250,25.568385362625122,0.9122430831193924,0.0077319993,80.46,61616,25
-0.010944379,0.10310876,0.0019774898,-0.00216412,1.2451014647974625,650000,5.529532,6500,26.39999294281006,0.9140061810612679,0.014796001,71.74,60474,26
-0.013330132,0.10032433,0.002574419,-0.001717053,0.9500948846507117,675000,5.516884,6750,27.24245810508728,0.9221553578972816,0.024200002,63.75,61474,27
-0.013615047,0.09051032,0.0020483697,-0.00096601684,1.327789292792205,700000,5.5052633,7000,28.070541381835938,0.9290251433849335,0.010996001,68.27,62395,28
-0.010924116,0.10620954,0.002699724,-0.0021062517,1.5223351166864085,725000,5.492645,7250,28.896281242370605,0.9217431470751762,0.02412,76.99,55048,29
-0.009898303,0.08434458,0.0026052801,-0.0017697343,1.636087409182835,750000,5.4777727,7500,29.77035355567932,0.9340987429022789,0.020615999,78.02,61278,30
-0.009743689,0.0901645,0.003496978,-0.0022406965,1.4758297787035235,775000,5.4631376,7750,30.60946750640869,0.9340104013681412,0.03442,72.64,61934,31
-0.011487931,0.095681116,0.002548316,-0.0012741947,1.2379413182278032,800000,5.449878,8000,31.43131732940674,0.9304294660687447,0.018199999,68.09,62146,32
-0.010180866,0.09425577,0.0022317467,-0.0013676634,1.507259288234166,825000,5.4404674,8250,32.2547972202301,0.9365174248814583,0.017244,67.23,61532,33
-0.012474015,0.1175102,0.0022412364,-0.0012116393,1.4715089589125183,850000,5.430164,8500,33.0768768787384,0.9166286066174507,0.01374,66.82,61460,34
-0.011309956,0.10774551,0.0016068133,-0.0011942055,1.6033248598157388,875000,5.416981,8750,33.91217660903931,0.9247748851776123,0.008296,66.06,60345,35
-0.010363223,0.101540886,0.002942494,-0.001745446,1.5709145240224587,900000,5.4030614,9000,34.74030256271362,0.9296067655086517,0.024908,69.63,62089,36
-0.013646475,0.11027201,0.0023981587,-0.0014811084,1.1844955240221042,925000,5.3916197,9250,35.56017255783081,0.9197858795523643,0.01846,62.68,60629,37
-0.012951098,0.08700605,0.0030987426,-0.001585735,1.540428494709888,950000,5.3822393,9500,36.41275644302368,0.9385302886366844,0.02836,65.37,59717,38
-0.009824015,0.09142487,0.0015411895,-0.0012713522,1.4930109584526599,975000,5.372635,9750,37.249794006347656,0.9355472698807716,0.008344,74.83,60306,39
-0.010193142,0.08037398,0.003117185,-0.001429108,1.5399261501355703,1000000,5.3626842,10000,38.072505712509155,0.9461861178278923,0.026952002,66.81,61530,40
-0.011771514,0.08693571,0.0022985793,-0.0015411826,1.8616098556965426,1025000,5.3530703,10250,38.89739465713501,0.9374687299132347,0.018004,77.01,61688,41
-0.0069142985,0.0750291,0.0028257929,-0.001526044,1.7643171758718723,1050000,5.344735,10500,39.721898794174194,0.9505553841590881,0.024972001,71.74,61239,42
-0.009364631,0.06965837,0.002630597,-0.0014647881,1.734362079152953,1075000,5.3328657,10750,40.55274176597595,0.9524486660957336,0.022088,80.59,60707,43
-0.008803507,0.06911212,0.002009898,-0.0014598117,1.811307263437834,1100000,5.3203025,11000,41.38856339454651,0.9549240358173847,0.016464,79.63,61783,44
-0.01043612,0.07265749,0.0021752592,-0.001373156,1.5636022315476885,1125000,5.3100386,11250,42.22580862045288,0.9512301944196224,0.01488,71.0,61779,45
-0.00968375,0.07765573,0.0021392785,-0.0011266333,1.7805527512670256,1150000,5.3008885,11500,43.04085898399353,0.9447904266417027,0.013872,86.91,60713,46
-0.0043017287,0.070890784,0.003605764,-0.0021739898,2.06816200849421,1175000,5.292148,11750,43.8602819442749,0.953850120306015,0.036604,83.75,62188,47
-0.009065745,0.061037123,0.0017932141,-0.0015863389,1.5713627895403397,1200000,5.2787576,12000,44.662060022354126,0.960356816649437,0.013236001,70.64,61089,48
-0.005402735,0.06535901,0.0024227318,-0.0014954957,1.983245110109583,1225000,5.2627726,12250,45.491087198257446,0.9568635262548923,0.01738,82.13,60771,49
-0.007762556,0.05920555,0.0022287085,-0.0018918806,1.9700617492914694,1250000,5.2469263,12500,46.32123255729675,0.9615999683737755,0.019472,83.71,61736,50
-0.0084702335,0.05508578,0.0025803125,-0.0015653598,1.486822571163084,1275000,5.2327642,12750,47.15018844604492,0.962430328130722,0.025120001,73.66,60898,51
