serial_timesteps,approxkl,time_elapsed,clipfrac,total_timesteps,policy_entropy,n_updates,ep_len_mean,explained_variance,policy_loss,true_reward,ep_reward_mean,value_loss,fps
9250,1009994.7,8.68666386604309,0.89519995,9250,5.6701565,37,0.99,-45407787.0,-0.011502741,-0.033283573,-0.03295349188148975,11.343828,2101
9500,60124.617,8.84303092956543,0.8964,9500,5.6692643,38,0.99,-745018.1875,0.054113507,-0.033182435,-0.03295349188148975,2.9449155,2083
9750,54959.574,8.999531269073486,0.8964,9750,5.66908,39,0.99,-13082031.0,0.045055024,-0.03332776,-0.03295349188148975,8.702938,2125
10000,345978.2,9.153379678726196,0.89399993,10000,5.6686244,40,0.99,-263369.25,0.04802649,-0.03329738,-0.03295349188148975,18.397633,2140
10250,448652.5,9.306161880493164,0.8972,10250,5.667488,41,0.99,-97815.609375,0.061054625,-0.033233963,-0.03295349188148975,10.338347,2110
10500,21578.535,9.460310935974121,0.8964,10500,5.6680317,42,0.99,-128311.0546875,0.0068062595,-0.033316232,-0.03295349188148975,14.66979,2159
10750,142777.17,9.610678434371948,0.8816,10750,5.667941,43,0.99,-8796747.0,0.011900237,-0.03331832,-0.03295349188148975,59.767933,2268
11000,151873.48,9.756519794464111,0.8988,11000,5.6645975,44,0.99,-4022352.75,0.029691879,-0.033235062,-0.03295349188148975,55.65632,1841
11250,81329.375,9.92710256576538,0.89439994,11250,5.6609635,45,0.99,-794768.5,0.04812188,-0.03326823,-0.03295349188148975,4.5253496,2271
11500,155478.88,10.072324991226196,0.88679993,11500,5.6568666,46,0.99,-4633697.0,0.061281703,-0.03324912,-0.03295349188148975,9.015342,2253
11750,16524.033,10.217257022857666,0.89399993,11750,5.6546745,47,0.99,-975001.4375,0.005008816,-0.033301264,-0.03295349188148975,15.836914,2284
12000,8943.936,10.361822843551636,0.8855999,12000,5.6538353,48,0.99,-886124799.0,0.046077408,-0.033278633,-0.03295349188148975,16.655998,2262
12250,2758.1602,10.50770354270935,0.8948,12250,5.6540337,49,0.99,-31484701.0,0.031659767,-0.033327956,-0.03295349188148975,11.073832,2272
12500,14209.701,10.652980089187622,0.89159995,12500,5.6542473,50,0.99,-14981032.0,0.058943592,-0.0332723,-0.03295349188148975,7.2471986,2242
12750,17.329432,10.800057411193848,0.8752,12750,5.6543207,51,0.99,-793003.0,0.035114326,-0.033328768,-0.03295349188148975,5.4691076,2246
13000,104347.29,10.946990966796875,0.8879999,13000,5.6543727,52,0.99,-17236973.0,0.056741904,-0.033291336,-0.03295349188148975,8.575157,2182
13250,42318.363,11.09749174118042,0.89399993,13250,5.6546297,53,0.99,-3768501.75,0.03763605,-0.03331115,-0.03295349188148975,12.058332,2197
13500,27073.035,11.24691367149353,0.89159995,13500,5.6533966,54,0.99,-49341.73046875,-0.0010269656,-0.033327762,-0.03295349188148975,1.5088764,2085
13750,2357.841,11.402305603027344,0.8936,13750,5.653249,55,0.99,-141176319.0,0.04571765,-0.033297416,-0.03295349188148975,9.233511,2211
14000,229666.66,11.551185607910156,0.886,14000,5.6533256,56,0.99,-1564777.25,0.04951289,-0.033273924,-0.03295349188148975,12.688002,2218
14250,18621.871,11.699702978134155,0.8948,14250,5.6535664,57,0.99,-7171391.0,0.04275365,-0.033284683,-0.03295349188148975,10.676344,2271
14500,15508.814,11.84555196762085,0.8723999,14500,5.6537333,58,0.99,-581204.9375,0.03041925,-0.033193026,-0.03295349188148975,17.777287,2158
14750,65236.55,11.996666431427002,0.8964,14750,5.6539373,59,0.99,-238945311.0,0.048190184,-0.033278495,-0.03295349188148975,14.692678,2150
15000,5880.1167,12.148589611053467,0.89,15000,5.6543784,60,0.99,-23125781.0,0.063852504,-0.033289153,-0.03295349188148975,6.3465476,2173
