true_reward,policy_loss,approxkl,ep_len_mean,value_loss,fps,explained_variance,ep_reward_mean,time_elapsed,policy_entropy,clipfrac,total_timesteps,n_updates,serial_timesteps
-1.5836232,-0.0038471415,0.0018396328,19.51,320.49005,3143,-0.00017154216766357422,-0.095842839993893,0.0014848709106445312,5.678558,0.014148,25000,1,250
-1.3095843,-0.004868337,0.003417239,23.29,264.26038,48145,0.002608656883239746,-0.09395639012665924,8.512688875198364,5.684869,0.036224,50000,2,500
-0.983491,-8.42181e-05,0.00031898188,32.35,197.88899,55457,0.003409266471862793,-0.15772758398021097,9.442594289779663,5.687192,4.7999998e-05,75000,3,750
-0.8580585,-0.0020903754,0.0059837834,35.62,169.69742,42077,0.004374146461486816,-0.07177073309340926,10.292738914489746,5.691214,0.077644005,100000,4,1000
-0.79122186,0.0010131538,0.003684563,39.11,154.01692,31865,0.0056188106536865234,-0.14878995406133982,11.27984881401062,5.6920624,0.038456,125000,5,1250
-0.80801857,-0.0014141247,0.0029981933,37.37,154.63112,55413,0.006966888904571533,-0.13565712025420568,12.460744857788086,5.6900206,0.027627999,150000,6,1500
-0.7780108,-0.00047563884,0.0015885059,34.76,146.1163,50445,0.01142042875289917,-0.18502772060354516,13.318657159805298,5.6891375,0.006984,175000,7,1750
-0.7754699,-0.00087903085,0.00069973036,39.25,142.38101,49360,0.006132304668426514,-0.09031335985433998,14.206679344177246,5.687422,0.0019639998,200000,8,2000
-0.6889761,-0.00045711425,0.0010429766,41.93,123.398605,35366,0.01893681287765503,-0.09633070631552983,15.104527473449707,5.6862044,0.00252,225000,9,2250
-0.7058893,-0.00073467713,0.00064344134,39.04,123.97241,39698,0.024671435356140137,-0.1121511795794845,16.20141911506653,5.6825814,0.0011,250000,10,2500
-0.65825534,4.5993715e-05,0.0008899456,41.39,112.979004,45408,0.01777583360671997,-0.154407865661467,17.219409465789795,5.6804404,0.001668,275000,11,2750
-0.6251324,-0.0015210464,0.0012595245,46.15,104.97102,55300,0.0273134708404541,-0.12553498524455564,18.169245719909668,5.680588,0.0052239997,300000,12,3000
-0.5668364,-0.00028283612,0.001266943,54.71,93.2341,54894,0.03156095743179321,-0.1498417369656363,19.014049768447876,5.6780233,0.00404,325000,13,3250
-0.632644,-0.0009179376,0.00018255043,47.41,101.95641,54823,0.039468467235565186,-0.1494227553194196,19.853380918502808,5.674632,0.000132,350000,14,3500
-0.57643026,-0.0008576723,0.0026644836,46.68,89.986595,54548,0.04775494337081909,-0.15582174680988145,20.70321035385132,5.6738253,0.021196,375000,15,3750
-0.53879464,-0.0009388022,0.0006269249,59.18,83.03752,43015,0.04339045286178589,-0.22491659900884997,21.532114028930664,5.673558,0.0022999998,400000,16,4000
-0.5056502,-0.00053411355,0.00052343577,60.89,74.769104,49957,0.06997036933898926,-0.3075481802465262,22.478203773498535,5.67305,0.00045600004,425000,17,4250
-0.5469441,-0.00048453308,0.00022622799,50.28,79.31917,55995,0.07267928123474121,-0.044329983559944136,23.371368408203125,5.6721377,2e-05,450000,18,4500
-0.52431875,-0.0010306739,0.00096262805,49.32,73.75862,46653,0.09901708364486694,-0.014353886963809827,24.194085359573364,5.670233,0.004576,475000,19,4750
-0.49788812,-0.0004638384,0.0007882395,58.22,68.533165,53815,0.08737540245056152,-0.31310455972314005,25.106150150299072,5.6684155,0.001116,500000,20,5000
-0.5071901,-0.000826367,0.0006544255,55.58,70.013596,46887,0.07503372430801392,0.12162663567899927,25.950589179992676,5.6672506,0.0014119999,525000,21,5250
-0.47683993,-0.0004083361,0.00062874914,59.55,63.718773,56172,0.08964687585830688,-0.13888798322710955,26.870808601379395,5.665766,0.00044400003,550000,22,5500
-0.5105976,-0.0004130819,0.0001436844,55.9,66.22113,36445,0.11274147033691406,-0.09671643912222691,27.697441577911377,5.663369,0.0,575000,23,5750
-0.5151452,-0.0009277115,0.000741356,52.42,66.18539,56081,0.1014203429222107,-0.1075994330238973,28.7599995136261,5.659753,0.002892,600000,24,6000
