value_loss,clipfrac,policy_entropy,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,true_reward,time_elapsed,total_timesteps,approxkl,ep_reward_mean
8.791189,0.023679998,5.6783514,0.07735341787338257,3250,57.81,13,55063,-0.00174088,-0.14565724,18.591365337371826,325000,0.0027111254,1.397553654889998
8.386637,0.011276001,5.675234,0.03182119131088257,3500,75.56,14,48264,-0.0020449967,-0.1433015,19.448551177978516,350000,0.0013105444,1.4616725925271021
7.5174055,0.000872,5.671027,0.0679592490196228,3750,72.41,15,55947,-0.0010181827,-0.13704538,20.365300178527832,375000,0.00061261357,1.3672604542154978
6.4285674,0.01828,5.6654315,0.10546422004699707,4000,80.11,16,56909,-0.0020081378,-0.11781664,21.19270610809326,400000,0.002195669,1.8637193730259969
5.654871,0.029107999,5.6610465,0.09672337770462036,4250,81.46,17,55659,-0.0029463563,-0.10287038,22.023388147354126,425000,0.0027975743,1.7493347754812385
5.564336,0.052004,5.6573253,0.1338168978691101,4500,87.98,18,52543,-0.0034860813,-0.105232455,22.865532398223877,450000,0.0042479895,2.1750990230539538
5.066514,0.054404,5.6482954,0.14019286632537842,4750,82.57,19,56652,-0.0045608943,-0.100213744,23.80153799057007,475000,0.004572796,1.8966072373065344
4.1695604,0.01262,5.642207,0.2086883783340454,5000,96.54,20,54205,-0.0021796313,-0.07703034,24.703343391418457,500000,0.0017026372,2.182711611694531
3.6383297,0.030975997,5.646804,0.27580928802490234,5250,94.17,21,52980,-0.002856966,-0.07523012,25.59952712059021,525000,0.0029156427,1.7957509848354676
3.2231126,0.040096,5.6461864,0.3147420287132263,5500,106.66,22,56866,-0.0030849068,-0.058171544,26.476512670516968,550000,0.0039027804,2.3887767774392024
2.9798238,0.060648,5.6459064,0.3548070788383484,5750,119.51,23,50528,-0.0036572404,-0.050774977,27.32732319831848,575000,0.0048090653,2.654015559098598
2.4064689,0.017,5.6471334,0.4580124020576477,6000,121.75,24,50606,-0.0013249135,-0.042304024,28.300514459609985,600000,0.0022608102,2.201154228633081
2.4509773,0.018388,5.6457853,0.5008351504802704,6250,124.95,25,56041,-0.0016507745,-0.038517915,29.185914754867554,625000,0.0021639876,2.747565014494853
2.7075891,0.092132,5.640635,0.4774653911590576,6500,117.41,26,50593,-0.0037665654,-0.046761006,30.019341230392456,650000,0.0067742625,2.6712689880260676
1.9502785,0.019679999,5.6463256,0.6148319840431213,6750,136.08,27,55967,-0.00047240555,-0.030558744,30.93739104270935,675000,0.0024957594,2.987171943846515
2.1484854,0.042856,5.6496058,0.5778053402900696,7000,126.95,28,49277,-0.0022730222,-0.0338133,31.83104658126831,700000,0.003758143,2.8595309289856687
1.8467214,0.034056,5.646146,0.6887007355690002,7250,125.64,29,55540,-0.0017282395,-0.032654203,32.78377676010132,725000,0.0033430643,2.7375482554417885
