true_reward,policy_loss,explained_variance,policy_entropy,value_loss,total_timesteps,fps,clipfrac,time_elapsed,approxkl,ep_reward_mean,serial_timesteps,ep_len_mean,n_updates
0.6779675,-0.0023413582,0.49385011196136475,4.8003187,39.985725,11800000,73579,0.069571994,368.71878242492676,0.005603214,166.5448462374392,118000,232.41,472
0.68359375,-0.0017425849,0.6752858757972717,4.7976794,25.487934,11825000,74136,0.055408,369.47653436660767,0.0047398433,167.51960871826043,118250,236.22,473
0.6385902,-0.0012940082,0.4158130884170532,4.7949185,57.23951,11850000,75003,0.075384,370.2023665904999,0.006034677,153.27512835400952,118500,220.88,474
0.62917507,-0.0021980791,0.5315684080123901,4.7928867,49.816635,11875000,71217,0.053092003,370.9599919319153,0.004511618,151.1204937593507,118750,219.59,475
0.6402948,-0.0014839798,0.32039546966552734,4.791771,73.65084,11900000,67275,0.041604,371.71841835975647,0.003988224,147.70932746362593,119000,208.4,476
0.6506133,-0.0022054594,0.5294280648231506,4.7904873,48.534092,11925000,70176,0.044224,372.4938454627991,0.0039520995,155.97356432718337,119250,222.27,477
0.6686901,-0.002029217,0.5428224503993988,4.787529,33.321712,11950000,74931,0.043908,373.24669098854065,0.0040551047,158.65908257837734,119500,227.75,478
0.65317744,-0.0022296913,0.36698609590530396,4.7844977,54.242867,11975000,73360,0.084731996,373.9752254486084,0.0065664044,160.28638997468917,119750,228.41,479
0.6676657,-0.0021019839,0.5098104476928711,4.782404,36.79407,12000000,74514,0.076216,374.7159674167633,0.005944484,161.28334816893178,120000,230.64,480
0.67890155,-0.0016985668,0.5688411295413971,4.7783327,37.3158,12025000,73203,0.067424,375.44591093063354,0.0054714167,159.78381219724528,120250,225.14,481
0.6837286,-0.0017175989,0.4983947277069092,4.7742715,38.239265,12050000,70801,0.064288005,376.1716842651367,0.0052962136,166.54299286916714,120500,230.98,482
0.684574,-0.0010469609,0.5188431441783905,4.770664,37.25538,12075000,73201,0.039916,376.919636964798,0.0038310506,169.7192810297776,120750,233.97,483
0.6842928,-0.0018776398,0.5678344964981079,4.768209,25.438597,12100000,73736,0.054372,377.6555378437042,0.0045948722,168.46707052326047,121000,237.82,484
0.65997136,-0.0016501516,0.3924316167831421,4.7640333,47.954067,12125000,70292,0.065652,378.40391635894775,0.005402929,158.42941081058555,121250,226.17,485
0.6648078,-0.0018496054,0.40004414319992065,4.7584963,53.91207,12150000,74229,0.081772,379.13438606262207,0.0063221483,156.93221915322138,121500,219.59,486
0.68408483,-0.001728205,0.432564377784729,4.754092,51.162437,12175000,75692,0.079748,379.8477818965912,0.0064553595,165.61351419140027,121750,226.36,487
0.6983318,-0.0020539057,0.43746739625930786,4.749138,45.44391,12200000,75268,0.074535996,380.5453944206238,0.0058821305,166.63145414138177,122000,225.08,488
0.6811903,-0.0023153254,0.44729942083358765,4.745271,49.93768,12225000,75706,0.0648,381.2566223144531,0.005259265,161.77796980525613,122250,222.5,489
0.6696916,-0.002244975,0.484367311000824,4.7416906,56.275726,12250000,72238,0.072328,381.9679355621338,0.0058018006,157.3638327490212,122500,217.64,490
0.6760853,-0.0025822106,0.44845348596572876,4.739803,55.725647,12275000,73372,0.048756003,382.67869758605957,0.004374531,162.9554728390627,122750,223.68,491
0.67807764,-0.0026216072,0.48384952545166016,4.7365255,48.637825,12300000,75310,0.08076,383.389014005661,0.006309186,166.23093716972812,123000,230.26,492
0.6831317,-0.0026984066,0.4392014145851135,4.7333727,50.58776,12325000,73640,0.059220005,384.0878791809082,0.005000188,160.2952939542718,123250,221.67,493
0.7272894,-0.0011325286,0.549812376499176,4.7299967,27.756184,12350000,72415,0.051251996,384.80445075035095,0.0045226575,176.7142270078135,123500,236.78,494
0.68595445,-0.00091753993,0.4984394907951355,4.727252,46.141743,12375000,74541,0.06878801,385.52131819725037,0.0055316994,165.78432921339547,123750,227.01,495
0.6921185,-0.0023262084,0.3994137644767761,4.72375,58.07612,12400000,73879,0.09242799,386.24451065063477,0.007118768,161.86434691123162,124000,217.76,496
0.68912977,-0.0015019575,0.40369051694869995,4.721031,43.53412,12425000,71715,0.056832004,386.97216606140137,0.0048198514,163.73764556477406,124250,226.02,497
0.6888178,-0.002242749,0.5480837821960449,4.718999,32.535378,12450000,76407,0.088107996,387.70296263694763,0.0066559613,167.03240285081148,124500,232.03,498
0.7055712,-0.0017081766,0.5045843720436096,4.7152104,35.893913,12475000,73072,0.088864006,388.403706073761,0.006867359,171.9235411009885,124750,234.2,499
0.7415667,-0.001591137,0.5677135288715363,4.7117095,24.378504,12500000,73985,0.057172,389.1848623752594,0.004868704,181.75988637887852,125000,239.25,500
0.73158455,-0.0013258625,0.3914830684661865,4.708183,47.966118,12525000,75178,0.058972,389.92896604537964,0.0049040667,175.30428691378512,125250,227.25,501
0.7104567,-0.0026109507,0.48664969205856323,4.70534,57.94456,12550000,73868,0.071216,390.6246671676636,0.005804333,169.18816837728798,125500,220.76,502
0.6827789,-0.0019697542,0.34250617027282715,4.700349,73.696,12575000,73658,0.06078,391.34100461006165,0.0051068002,151.02930723330792,125750,203.25,503
0.70255005,-0.0018739287,0.44992321729660034,4.698137,44.096775,12600000,72453,0.055196,392.0801131725311,0.004719082,165.36282888678244,126000,222.28,504
0.7216058,-0.001457067,0.4781356453895569,4.6971903,34.405144,12625000,74012,0.061300002,392.8375611305237,0.0050542094,177.60793681203825,126250,236.42,505
0.69721466,-0.002577954,0.4968511462211609,4.696007,35.66366,12650000,74642,0.063248,393.5694046020508,0.0052328547,174.27794339921317,126500,237.93,506
0.6958457,-0.0014783788,0.544651061296463,4.6944914,35.629276,12675000,70268,0.066800006,394.2999165058136,0.0053661633,167.3624767021124,126750,228.91,507
0.72444725,-0.001748235,0.536083459854126,4.6921797,36.05885,12700000,73329,0.03812,395.02754616737366,0.0035386141,179.26377012936106,127000,236.36,508
0.6941746,-0.0025134601,0.4441334009170532,4.6894684,57.972248,12725000,74169,0.066783994,395.7578938007355,0.005453521,170.01908259307086,127250,226.88,509
0.7073531,-0.0016178472,0.5414427220821381,4.6877313,41.521828,12750000,74055,0.067092,396.51829266548157,0.0054034693,168.34340530567835,127500,226.68,510
0.72144985,-0.0025477132,0.4304613471031189,4.6844816,42.646328,12775000,75179,0.045668,397.2447741031647,0.004055417,175.79396260624293,127750,231.94,511
0.74039656,-0.0021361657,0.5651498138904572,4.679515,25.942453,12800000,73299,0.05296,397.9666917324066,0.0045332005,182.2168724164415,128000,239.85,512
0.7649358,-0.0019596424,0.6110562384128571,4.6755,23.09835,12825000,67711,0.072888,398.7040464878082,0.0057468223,187.2488273853473,128250,239.1,513
0.73977757,-0.0013692824,0.4793122410774231,4.6716423,41.565086,12850000,73893,0.08645599,399.4601044654846,0.006591791,174.98814375325387,128500,226.38,514
0.72235954,-0.0014602015,0.34869158267974854,4.668665,57.266277,12875000,74060,0.053768,400.2336826324463,0.004652686,168.32855770210165,128750,219.11,515
0.6750422,-0.0014280474,0.27062469720840454,4.6655154,89.52942,12900000,69174,0.05154,400.98281955718994,0.004521516,148.86143497465142,129000,198.23,516
0.74181336,-0.00287208,0.528866171836853,4.6638727,42.89474,12925000,72356,0.0836,401.78473567962646,0.0063562677,178.08951550881443,129250,228.91,517
0.72409034,-0.0016639361,0.4228787422180176,4.661504,37.954414,12950000,67569,0.058388002,402.5447504520416,0.0049231895,172.7366475475341,129500,229.89,518
0.722047,-0.0020130891,0.5527251660823822,4.6596694,34.38781,12975000,67309,0.048368,403.34836769104004,0.00427129,176.8676052720195,129750,235.53,519
0.71337616,-0.0023780484,0.238359272480011,4.6599426,56.956154,13000000,60043,0.079455994,404.17092776298523,0.006191029,168.15018749312856,130000,222.28,520
0.7565695,-0.001796534,0.6182773411273956,4.661139,16.906881,13025000,74328,0.073520005,405.03417468070984,0.0057481574,188.4041506053041,130250,244.9,521
0.7328406,-0.0018503014,0.49759143590927124,4.6596336,40.438316,13050000,74686,0.065575995,405.7565109729767,0.0053844904,175.61051184670652,130500,229.96,522
0.72189736,-0.0011902391,0.34669238328933716,4.6577272,70.81685,13075000,73761,0.03266,406.46786856651306,0.0033245098,168.94827042345904,130750,216.18,523
0.72722656,-0.002021191,0.3476199507713318,4.654723,62.206367,13100000,76229,0.066116,407.20012974739075,0.00522383,172.22774048514069,131000,221.57,524
0.7436408,-0.00225382,0.48142170906066895,4.6523604,45.389275,13125000,75539,0.075799994,407.90843749046326,0.0058990843,178.3774801667384,131250,228.56,525
0.739024,-0.0012089091,0.40894073247909546,4.6519966,56.802094,13150000,73957,0.093368,408.61013627052307,0.0070505887,176.5572126709346,131500,223.14,526
0.7342455,-0.0021142608,0.36203086376190186,4.652068,57.008472,13175000,75355,0.09502,409.31668186187744,0.007126417,169.436380085272,131750,218.39,527
0.7399254,-0.0022088233,0.3737417459487915,4.650518,49.42777,13200000,74935,0.079224,410.01968479156494,0.0062539047,173.68059369696496,132000,223.68,528
0.7444932,-0.0016937659,0.3701764941215515,4.648835,55.837196,13225000,75411,0.073295996,410.7251253128052,0.005960743,179.82708209606616,132250,226.06,529
0.78022444,-0.0012800795,0.5106504261493683,4.644519,35.807106,13250000,72823,0.05036,411.43142104148865,0.004385751,184.84049714883753,132500,228.67,530
0.74872553,-0.0018542431,0.3453595042228699,4.6393023,64.82825,13275000,57685,0.076536,412.2009696960449,0.005930312,179.42076177570806,132750,223.62,531
0.7778987,-0.0018912485,0.5491651892662048,4.6344414,31.091928,13300000,52153,0.097012,413.1169662475586,0.0073445155,189.52857888289915,133000,236.92,532
0.76956075,-0.0019647821,0.3830825686454773,4.6314573,44.683296,13325000,72785,0.099016,413.9702172279358,0.007421194,180.93691005055967,133250,225.55,533
0.72445893,-0.00082991476,0.30521225929260254,4.628007,75.265144,13350000,74641,0.11044799,414.7041115760803,0.008271186,161.682882767123,133500,207.46,534
0.761485,-0.0010070446,0.5224812924861908,4.6240597,25.761826,13375000,72533,0.061132003,415.42214584350586,0.0051389793,186.18567780657472,133750,239.3,535
0.7362677,-0.0025438245,0.5330863296985626,4.619881,34.276257,13400000,72724,0.084724,416.1620583534241,0.006393552,179.24432831679266,134000,232.5,536
0.7347381,-0.0014611789,0.3948984146118164,4.615324,44.78596,13425000,72421,0.101188004,416.8881947994232,0.0076532317,174.2518356458475,134250,227.49,537
0.7577119,-0.00042067474,0.43434929847717285,4.6133537,41.04324,13450000,72169,0.11817199,417.60155868530273,0.008762396,181.03256641259205,134500,229.23,538
0.7753508,-0.000890996,0.49886465072631836,4.6114664,33.730167,13475000,75296,0.089768,418.34146094322205,0.006914053,187.989894539613,134750,234.34,539
0.7200753,-0.0005507473,0.37726837396621704,4.607217,77.40589,13500000,76285,0.069408,419.04121470451355,0.0055901734,163.71505794260702,135000,206.97,540
0.76202804,-0.0018363129,0.4397781491279602,4.603056,40.07287,13525000,73554,0.037143998,419.7375955581665,0.003732913,182.16076402633968,135250,229.37,541
0.74192315,-0.0010584019,0.3794914484024048,4.5983095,53.365417,13550000,74490,0.066488005,420.4499044418335,0.005305367,171.280856510565,135500,220.07,542
0.7283844,-0.0002817871,0.228102445602417,4.59647,75.20367,13575000,74258,0.117139995,421.154194355011,0.008847574,169.59314796579451,135750,215.45,543
0.71947044,-0.0013782042,0.44213831424713135,4.595329,65.452286,13600000,73283,0.066396,421.8618583679199,0.005497651,173.70889951321485,136000,221.23,544
0.74325335,-0.0015118513,0.48088061809539795,4.5933332,49.051506,13625000,74978,0.087203994,422.5780563354492,0.006618784,179.61662436175564,136250,228.3,545
