time_elapsed,explained_variance,ep_reward_mean,value_loss,n_updates,true_reward,policy_entropy,total_timesteps,ep_len_mean,policy_loss,serial_timesteps,clipfrac,fps,approxkl
0.0012691020965576172,0.0016613006591796875,0.692332498714968,31.298145,1,-0.364187,5.6788397,25000,33.4,-0.0049286345,250,0.054667998,3085,0.0045257164
8.80813193321228,0.002687394618988037,1.1212369380225755,24.753956,2,-0.2892585,5.6806417,50000,37.9,0.00024926724,500,0.0049599996,38376,0.0010106794
9.968405961990356,0.005618453025817871,0.9014706755220232,21.56596,3,-0.25953788,5.680822,75000,41.1,-0.0013668513,750,0.05296,53453,0.004492774
10.954251527786255,0.012844085693359375,1.0669581919723714,21.12822,4,-0.26746154,5.674666,100000,40.15,-0.00036611038,1000,0.025959998,51002,0.0029132608
11.860127210617065,0.020900070667266846,0.8734324021883367,20.077023,5,-0.26372164,5.66784,125000,36.85,-0.0011271854,1250,0.018816,55060,0.0024805286
12.770820379257202,0.026166796684265137,1.1289170615211765,17.474913,6,-0.23648013,5.66289,150000,49.63,-0.00089576235,1500,0.0024879999,49403,0.00094854424
13.695753335952759,0.03525882959365845,1.1100131280207644,15.8470125,7,-0.22267865,5.6594534,175000,52.45,-0.00036679808,1750,0.0014719999,49403,0.0007287237
14.675299406051636,0.038117289543151855,1.1256840800464851,15.225972,8,-0.22391953,5.659733,200000,49.61,-0.001478894,2000,0.0061040004,53804,0.0012707425
15.540085315704346,0.05260181427001953,0.9408250609097126,14.978282,9,-0.23454566,5.6629715,225000,50.27,-0.00047233095,2250,0.000768,53918,0.0005913335
16.42029643058777,0.06355905532836914,1.2492335432716937,13.356259,10,-0.21657783,5.664518,250000,51.2,-0.0012266729,2500,0.005364,53619,0.0011593371
17.303250551223755,0.07444673776626587,1.011562131513483,12.195502,11,-0.20706062,5.6641865,275000,46.18,-5.057192e-06,2750,0.0011359999,53702,0.0008265019
18.193743228912354,0.06626158952713013,1.560820850735181,11.57774,12,-0.2013025,5.662957,300000,57.2,-0.0021242113,3000,0.0070879995,46626,0.0012707395
19.130882740020752,0.12622135877609253,1.2376267151939373,10.041057,13,-0.18959425,5.661036,325000,53.85,0.00032533088,3250,0.002356,52823,0.00092346716
19.99886178970337,0.10620111227035522,1.6257674841475092,10.344906,14,-0.19856589,5.659446,350000,55.56,-0.002258935,3500,0.019816,55439,0.0022932077
20.848818063735962,0.1307215690612793,1.0735418942690012,8.635854,15,-0.17566906,5.6558166,375000,52.17,-0.00066901604,3750,0.001096,54920,0.0004956793
21.701571941375732,0.1869003176689148,1.2800622325747464,7.7063036,16,-0.16842437,5.6531935,400000,60.91,-0.0009861186,4000,0.012692,51268,0.001961996
22.59897780418396,0.17453992366790771,1.084935406366667,8.142086,17,-0.18886894,5.648194,425000,49.46,-0.0017497633,4250,0.012568,55564,0.0017850443
23.454497814178467,0.18606364727020264,1.3317894950387927,6.9523363,18,-0.16327208,5.642283,450000,57.64,-0.0008214808,4500,0.0014520001,52436,0.0005986555
24.385527849197388,0.26752597093582153,1.2870992158700563,5.7809896,19,-0.14921224,5.638296,475000,61.94,-0.0011513934,4750,0.013904,50539,0.002008447
25.29571557044983,0.31432515382766724,1.4565157781996845,5.3557577,20,-0.15030189,5.635064,500000,54.13,-0.0022637132,5000,0.027128,48354,0.0026061852
26.207624435424805,0.28214168548583984,1.1201672894124182,5.6370068,21,-0.156522,5.629737,525000,58.82,-0.001629483,5250,0.014568001,55843,0.001544609
27.047363996505737,0.3258538246154785,1.488279732519586,5.173935,22,-0.15311632,5.6284857,550000,62.94,0.0003849736,5500,0.001868,48365,0.0010721121
27.96828007698059,0.38534653186798096,1.2196605753316863,4.6490173,23,-0.14633591,5.6275015,575000,54.63,-0.0017384039,5750,0.021707999,54798,0.0026323036
28.82625651359558,0.4351985454559326,1.4169049100093207,3.921867,24,-0.12596957,5.6259055,600000,69.39,-0.0017923726,6000,0.022804001,54664,0.0025260043
29.699536561965942,0.5585513114929199,1.1984031500100059,3.0633993,25,-0.12406322,5.6240664,625000,62.29,-0.0018960398,6250,0.024736,55556,0.0026838141
30.562575817108154,0.5727179944515228,1.6498735044665682,2.7955399,26,-0.10274185,5.6144648,650000,77.79,-0.0023012003,6500,0.016088,52106,0.001838301
31.45935368537903,0.6670089960098267,1.8066527601041156,2.2339487,27,-0.092010476,5.5986404,675000,79.18,-0.0027928161,6750,0.03502,57280,0.0034164023
32.29922676086426,0.7389489114284515,1.7733181897097712,1.9141207,28,-0.08745734,5.586401,700000,83.64,-0.0023516617,7000,0.029624,55750,0.0030771294
33.14046049118042,0.7604402899742126,1.7504509115901965,1.8509535,29,-0.08843856,5.576606,725000,78.06,-0.0027692614,7250,0.04452,55510,0.0039837
33.98742866516113,0.8021966516971588,1.633271560724652,1.5744641,30,-0.08205085,5.5698895,750000,77.35,-0.00175927,7500,0.019552002,56861,0.002578413
34.82721018791199,0.8371661901473999,1.4992184554489267,1.4654585,31,-0.08210887,5.5671887,775000,76.7,-0.0023062003,7750,0.037787996,55877,0.003345055
35.656875133514404,0.8238520324230194,1.642520946315101,1.5360352,32,-0.07965355,5.5638003,800000,92.02,-0.003052669,8000,0.064784,57277,0.0052837324
36.47346377372742,0.8619080036878586,1.9999636609084155,1.3590142,33,-0.07299603,5.5620184,825000,88.79,-0.002455676,8250,0.034128,56702,0.0033709258
37.30642104148865,0.8569387048482895,2.5689434046053976,1.3483249,34,-0.066925295,5.5619154,850000,86.91,-0.00183412,8500,0.00904,55017,0.0013574627
