policy_loss,time_elapsed,explained_variance,approxkl,policy_entropy,ep_reward_mean,n_updates,clipfrac,value_loss,true_reward,fps,ep_len_mean,total_timesteps,serial_timesteps
0.042608738,44.76196312904358,0.14070063829421997,0.102572545,5.6437173,6.07468359425664,37,0.34878,7.5631094,0.18842119,50432,30.96,925000,9250
0.1667958,45.68897819519043,0.3291192650794983,3065.1992,5.6428,6.346018218994141,38,0.76312006,3.9711106,0.18841568,50623,32.34,950000,9500
0.1419023,46.617034912109375,0.17685222625732422,428.8772,5.6409655,5.99306742221117,39,0.80093604,5.0209527,0.18869875,50897,30.56,975000,9750
0.05574747,47.526198387145996,0.29342061281204224,2.7429595,5.638942,6.7616403804719445,40,0.45831996,5.455826,0.18530159,51248,34.48,1000000,10000
0.075994514,48.4559428691864,0.20092231035232544,2.11646,5.63746,5.663287342488766,41,0.446232,4.9356446,0.18643638,46960,28.89,1025000,10250
0.08871716,49.43669319152832,0.18707656860351562,1.583802,5.636031,6.632009243071079,42,0.51254404,5.035997,0.18675047,50401,33.8,1050000,10500
0.13129385,50.36360430717468,0.0927281379699707,70.397255,5.6343575,5.961084600836038,43,0.665164,4.408532,0.18722971,51680,30.38,1075000,10750
0.102704704,51.29103136062622,-0.15133905410766602,19.334936,5.633731,5.948924045115709,44,0.65251195,6.409518,0.19000633,51356,30.33,1100000,11000
0.106524125,52.21311163902283,0.16969788074493408,187.12405,5.6332393,6.164864730387926,45,0.61174405,4.3658843,0.18884276,50169,31.43,1125000,11250
0.14121452,53.130303621292114,0.20162469148635864,18.3521,5.6324077,5.470018712133169,46,0.680028,3.565925,0.18677422,51785,27.89,1150000,11500
0.11694138,54.0498321056366,0.0867387056350708,8.252634,5.6315656,6.0688292457163335,47,0.55079204,4.996292,0.1884144,50167,30.93,1175000,11750
0.11912755,54.98435878753662,0.047051072120666504,17.63147,5.6308646,5.194515500068665,48,0.53004396,4.5357757,0.18609495,45866,26.49,1200000,12000
0.15845379,55.98172426223755,-0.03499114513397217,152.86809,5.6316586,6.395589060932398,49,0.74416393,5.478502,0.18979792,50085,32.59,1225000,12250
0.1152999,56.90628457069397,0.06354302167892456,1.5284685,5.6319976,7.017646104544401,50,0.546512,4.9144835,0.19014682,51767,35.75,1250000,12500
0.1192268,57.841440200805664,-0.28093814849853516,14.230197,5.6316094,6.00106401309371,51,0.65323997,5.9809313,0.18992797,46414,30.59,1275000,12750
0.09255396,58.80573916435242,-0.05727434158325195,0.3656113,5.6321445,6.21593375980854,52,0.45978397,5.1257267,0.1905792,52330,31.68,1300000,13000
0.119663015,59.71208834648132,0.16317003965377808,36.40039,5.6325736,6.9029202526807785,53,0.736004,4.504626,0.19114266,52166,35.16,1325000,13250
0.12233474,60.627604961395264,0.3922492265701294,8.220257,5.633269,6.544461294710636,54,0.673968,3.0316074,0.19086698,47647,33.35,1350000,13500
0.06120962,61.57071089744568,0.4250539541244507,0.16476807,5.6332436,6.389862606823445,55,0.44614,2.5391688,0.19075936,51298,32.55,1375000,13750
0.07262576,62.483181953430176,0.07432788610458374,0.208572,5.632519,6.638650311976671,56,0.417512,3.5797877,0.19107656,52137,33.82,1400000,14000
0.13868122,63.387508392333984,-0.0743558406829834,13.592502,5.631549,6.2154825621843335,57,0.70281595,4.148708,0.19096984,46352,31.67,1425000,14250
0.120347604,64.3597481250763,0.14440101385116577,41.46619,5.6309996,5.980343528538942,58,0.566844,3.218331,0.1907274,51223,30.49,1450000,14500
0.20012741,65.31000661849976,0.20293152332305908,2748.398,5.6318617,6.7487557612359526,59,0.84377193,3.0045137,0.19143856,51054,34.37,1475000,14750
0.16391301,66.21948766708374,0.1478394865989685,111.450584,5.6339283,6.055354710966348,60,0.712428,3.0431118,0.1922725,50915,30.84,1500000,15000
0.1560472,67.13500714302063,-0.13991045951843262,190.66693,5.6356654,6.405821500122547,61,0.793232,4.4960403,0.19190735,50332,32.62,1525000,15250
0.17565094,68.05632257461548,-0.11012387275695801,198.52061,5.6364827,6.4341583997011185,62,0.71434397,4.6793633,0.19204547,49288,32.76,1550000,15500
0.11200164,68.9890341758728,-0.1373903751373291,22.780554,5.6374655,6.145341442525387,63,0.65808,5.521373,0.19107895,50901,31.29,1575000,15750
0.13648415,69.91279125213623,-0.2608647346496582,1453.9895,5.6386085,6.694910088777542,64,0.686232,6.257731,0.19178893,50730,34.09,1600000,16000
0.13574047,70.82069706916809,-0.10613667964935303,59.40813,5.639109,5.6945253506302835,65,0.713152,6.0779495,0.19179994,52214,29.01,1625000,16250
0.11852382,71.72891569137573,0.0866316556930542,9.138446,5.639537,6.391957835257053,66,0.58488,5.582179,0.19172432,50434,32.55,1650000,16500
0.059474338,72.64138078689575,0.08024430274963379,0.11960735,5.6399827,6.306475562006235,67,0.37803203,6.390565,0.19053698,53313,32.11,1675000,16750
0.18078478,73.54225635528564,0.24980533123016357,724.88464,5.640219,5.058038609027863,68,0.801936,5.443919,0.18955374,51392,25.78,1700000,17000
0.06411455,74.45183610916138,0.4239497780799866,0.31377062,5.6401343,5.3019147472083565,69,0.45211202,3.440979,0.18734619,52517,27.01,1725000,17250
0.060691547,75.36281490325928,0.29132282733917236,0.19547519,5.6396894,5.729662539511919,70,0.39720803,4.253564,0.18744743,49987,29.19,1750000,17500
0.113712646,76.29491901397705,0.4511256814002991,10.139604,5.639296,5.545772030949593,71,0.671748,3.4430459,0.18744645,51876,28.25,1775000,17750
0.12594083,77.21686172485352,0.2856380343437195,27.832037,5.639509,5.935368898063898,72,0.73207605,5.2199035,0.18946742,52187,30.23,1800000,18000
0.04543963,78.12516164779663,0.36274421215057373,0.16165864,5.6393065,6.396257607787848,73,0.36546797,6.4037576,0.19068713,50303,32.58,1825000,18250
0.13591477,79.05216097831726,0.5103802680969238,37.93073,5.6382236,6.055853664427996,74,0.73205996,2.7508454,0.19068421,52177,30.85,1850000,18500
0.14561641,79.95846438407898,0.4385998845100403,38.271996,5.636038,6.3975099338591095,75,0.715868,2.6698787,0.1907739,49440,32.58,1875000,18750
0.21702318,80.94805526733398,0.47827786207199097,3277.187,5.634085,6.298041303753853,76,0.8167801,2.5027785,0.19107284,48417,32.08,1900000,19000
0.1642831,81.90005373954773,0.4484400153160095,5.6210165,5.633109,5.4913107530772685,77,0.659752,2.3476434,0.18982898,47522,27.99,1925000,19250
0.24693951,82.85502052307129,0.3841344118118286,1616.0466,5.632855,5.300149771124125,78,0.75309193,2.3605642,0.18949085,52260,27.01,1950000,19500
0.06605595,83.77419257164001,-0.08736658096313477,2.9841418,5.6275654,1.3149210262298583,79,0.403752,2.0953012,0.16740125,49871,6.72,1975000,19750
0.18872097,84.84235286712646,0.0661424994468689,3.991293,5.615119,5.25856827095151,80,0.570228,2.1878283,0.18613656,50623,26.81,2000000,20000
0.15179898,85.77902293205261,0.12225514650344849,1.1786914,5.6096244,6.100408088564873,81,0.52066004,1.6455991,0.18711422,50671,31.08,2025000,20250
0.2193826,86.70947766304016,0.251498281955719,19.708286,5.6071258,4.965920467525721,82,0.647128,1.7147316,0.18823051,45955,25.31,2050000,20500
0.13869353,87.70229530334473,0.32900506258010864,1.1040426,5.606187,6.673802576363086,83,0.57838,2.8864625,0.1914524,50634,33.99,2075000,20750
0.14723629,88.60514378547668,-0.16197824478149414,35.207153,5.6061907,6.2521395993232725,84,0.72336805,3.60679,0.19110353,50127,31.87,2100000,21000
0.14375994,89.5306875705719,-0.29241979122161865,157.23216,5.606961,6.46455982029438,85,0.55516005,4.872002,0.19119467,46327,32.93,2125000,21250
0.23126547,90.50909495353699,0.15941035747528076,71.938965,5.6068926,4.662059086859227,86,0.67664,5.537987,0.18458891,49644,23.77,2150000,21500
0.15036473,91.49892473220825,-0.3661177158355713,157.95573,5.6058607,5.7739423006773,87,0.76267207,8.003382,0.19143479,41997,29.42,2175000,21750
0.06501913,92.55908632278442,-0.2283458709716797,0.13110116,5.6050196,7.137983387559652,88,0.408984,5.951195,0.19203156,47227,36.36,2200000,22000
0.13120861,93.50834798812866,-0.07308220863342285,300.7778,5.604254,6.918833861351013,89,0.66008794,5.5209355,0.19220553,51673,35.24,2225000,22250
0.13270745,94.41215586662292,-0.5381375551223755,34.94588,5.6036534,5.855603057444096,90,0.71964794,7.986595,0.19243214,48760,29.84,2250000,22500
0.033334397,95.35976719856262,-0.37406277656555176,0.05481264,5.6037865,6.108025757819414,91,0.31205198,7.2930555,0.19247045,51173,31.12,2275000,22750
0.09244462,96.27627897262573,-0.3877307176589966,2.4038424,5.603988,6.383467137366534,92,0.59205604,9.387441,0.19283707,52128,32.52,2300000,23000
0.04681602,97.18672776222229,-0.08201313018798828,0.0773011,5.604534,6.439336686134339,93,0.376268,6.238456,0.19291194,50779,32.8,2325000,23250
0.20082346,98.08742094039917,-0.44211506843566895,1353.1799,5.6045604,6.035606432706118,94,0.83970404,8.893551,0.19264092,50766,30.76,2350000,23500
0.078400746,98.9989972114563,-0.658713698387146,0.19628276,5.60452,5.827096458226443,95,0.44997597,11.2935505,0.19272633,52328,29.69,2375000,23750
0.057906073,99.9022331237793,0.07434141635894775,0.13908862,5.6046505,6.361140061020851,96,0.385932,4.3093925,0.1925342,52446,32.4,2400000,24000
0.1146942,100.79969191551208,0.24970370531082153,47.465485,5.6043143,5.809945008456707,97,0.772376,3.7991722,0.19237402,51124,29.6,2425000,24250
0.12142233,101.69681882858276,0.3738439083099365,90.09059,5.603999,6.046610034704209,98,0.67753994,2.990951,0.19220836,52251,30.81,2450000,24500
0.12010358,102.59089255332947,0.1280408501625061,0.4840556,5.6035943,6.971945030838251,99,0.56118,5.4089646,0.19295093,50879,35.5,2475000,24750
0.06531243,103.49397301673889,0.07961797714233398,1.4920273,5.6036305,6.312714645713568,100,0.381172,6.8741584,0.19270207,50498,32.15,2500000,25000
0.13335237,104.40854501724243,0.22510379552841187,94.11801,5.603805,5.192487499564886,101,0.791216,3.2221115,0.19304863,51552,26.46,2525000,25250
0.18554702,105.3029716014862,0.1485154628753662,575.53577,5.6041327,5.785608819425106,102,0.75741196,3.2639847,0.19324459,52206,29.48,2550000,25500
0.18071467,106.20239591598511,0.13253599405288696,1257.0193,5.605439,6.2891004726290705,103,0.838404,3.4302115,0.19308853,52865,32.04,2575000,25750
0.16811228,107.08605360984802,-0.2519444227218628,250.45415,5.605951,6.33731011018157,104,0.782868,3.302478,0.19319052,52680,32.28,2600000,26000
0.17099415,108.01591444015503,-0.16852188110351562,123.5177,5.6054406,6.462337654232979,105,0.8183321,2.93054,0.1931816,44075,32.92,2625000,26250
0.2027658,109.01280617713928,-0.12743675708770752,6835.176,5.6044564,6.359087073206902,106,0.86250794,3.20824,0.19319779,50871,32.4,2650000,26500
