ep_len_mean,ep_reward_mean,policy_entropy,explained_variance,fps,n_updates,serial_timesteps,time_elapsed,true_reward,clipfrac,approxkl,total_timesteps,policy_loss,value_loss
250.0,82.17436927510892,-4.861492,0.9672876074910164,57399,36,9000,36.019733905792236,0.32869747,0.32298,0.032691132,900000,0.017034523,0.29252735
247.26,81.26249551497705,-4.8647738,0.9202213659882545,54684,37,9250,36.80199313163757,0.32662663,0.19614,0.015002601,925000,0.0024098854,0.82976294
247.99,80.45978358097527,-4.862803,0.9585218094289303,57142,38,9500,37.594868898391724,0.32369635,0.25386003,0.021356573,950000,0.0075604757,0.48066053
248.58,82.49649157545063,-4.8622975,0.9508675634860992,54763,39,9750,38.39838933944702,0.3308975,0.14431599,0.010479937,975000,0.00038619325,0.47519937
246.69,80.1943839035257,-4.864152,0.8988837823271751,55593,40,10000,39.2147901058197,0.3224234,0.257384,0.025853261,1000000,0.0045431955,1.1735228
249.48,80.56880541148392,-4.8646765,0.9323601797223091,55446,41,10250,40.01109504699707,0.32210118,0.38167197,0.049425267,1025000,0.015362528,0.72279835
246.97,81.8447461408039,-4.8639264,0.9026013910770416,56427,42,10500,40.7989661693573,0.3292092,0.220168,0.016524982,1050000,0.0014004715,0.9772525
246.54,81.47242257748731,-4.862544,0.9310461059212685,54920,43,10750,41.61583352088928,0.32872412,0.19065198,0.014545207,1075000,0.0005274591,0.7117641
247.21,80.12045789512223,-4.858885,0.9057315811514854,54839,44,11000,42.41925644874573,0.32273358,0.141192,0.01016989,1100000,-0.0017839618,1.046081
244.53,78.39330868156561,-4.8518457,0.9230331629514694,55030,45,11250,43.2172212600708,0.31779805,0.335804,0.02823675,1125000,0.008246009,1.0070897
243.92,79.2531438316143,-4.8463144,0.9156549051403999,56210,46,11500,44.02739644050598,0.32231778,0.21383199,0.021810986,1150000,0.0034107242,1.0354946
245.85,79.21644853300124,-4.842287,0.8987655937671661,56712,47,11750,44.81474566459656,0.31892046,0.18904799,0.014092525,1175000,-0.00012204666,1.4371722
242.54,79.68402433895564,-4.8439236,0.905434362590313,54255,48,12000,45.601786851882935,0.32551196,0.11398401,0.008480598,1200000,-0.000995565,1.1492542
246.59,81.62396578002256,-4.8487673,0.9150793924927711,56815,49,12250,46.40674066543579,0.32930937,0.191088,0.015005295,1225000,-0.0004783635,0.8352933
247.89,81.77051408830215,-4.8502135,0.9466311894357204,56532,50,12500,47.192901372909546,0.32904956,0.216904,0.016571272,1250000,0.0020272823,0.55625373
244.17,81.15405432711647,-4.850903,0.9322706013917923,54957,51,12750,47.976619243621826,0.327387,0.26958,0.021128947,1275000,0.002380497,1.0209373
245.36,80.22177504821903,-4.847838,0.8958845809102058,55304,52,13000,48.77402138710022,0.32353407,0.311828,0.029919496,1300000,0.005548521,1.3210019
243.82,80.949185086207,-4.843069,0.9003201276063919,57337,53,13250,49.565388679504395,0.329377,0.195252,0.014919415,1325000,0.0007479867,1.1456959
243.35,79.112533209424,-4.839473,0.8827269375324249,54471,54,13500,50.348615646362305,0.32120323,0.18454799,0.013377194,1350000,-0.0015819257,1.7184951
