serial_timesteps,n_updates,ep_reward_mean,approxkl,explained_variance,true_reward,total_timesteps,fps,time_elapsed,value_loss,clipfrac,policy_loss,policy_entropy,ep_len_mean
3500,14,0.8364474699436687,0.003573784,0.47550010681152344,0.044690683,350000,69082,16.453877210617065,0.14554502,0.042904,-0.002255576,5.602706,22.46
3750,15,0.8559789298684336,0.0033460252,0.4201745390892029,0.048497174,375000,68539,17.232024431228638,0.20316966,0.036564,-0.0019723163,5.5957074,21.34
4000,16,1.4595187685103155,0.002989841,0.3766469359397888,0.053641465,400000,65395,18.00538444519043,0.25166932,0.032348,-0.0017544798,5.5877576,29.37
4250,17,1.4863418289739638,0.0032865808,0.30642223358154297,0.055840097,425000,67751,18.801646947860718,0.2943685,0.032452002,-0.0015718614,5.5804954,26.93
4500,18,1.4815426792390645,0.0032294118,0.2665674090385437,0.057161074,450000,68105,19.576838970184326,0.32476202,0.0311,-0.0023714139,5.573119,27.78
4750,19,1.6256827323883771,0.003147193,0.28942036628723145,0.063252464,475000,67358,20.35571265220642,0.36605433,0.034164,-0.0016509136,5.566412,28.04
5000,20,1.9364969556499272,0.002469468,0.22755485773086548,0.06411708,500000,68480,21.135690450668335,0.40365472,0.024064,-0.0015155005,5.5636063,30.32
5250,21,1.5972588262002683,0.0022174125,0.1424546241760254,0.06863662,525000,67780,21.91365694999695,0.4751587,0.017192,-0.0012164278,5.5610304,28.98
5500,22,2.082660020179319,0.0018657924,0.10580122470855713,0.070154764,550000,67902,22.69918441772461,0.53821105,0.015311999,-0.0018986712,5.5573626,33.24
5750,23,2.242091380544007,0.0015704911,0.04906141757965088,0.07269951,575000,69527,23.46650528907776,0.5924673,0.010584,-0.001303007,5.5523653,33.22
6000,24,2.565071792276576,0.0024975436,0.08158087730407715,0.077582195,600000,66012,24.221660375595093,0.6610158,0.022472,-0.0009909903,5.5489798,35.45
6250,25,2.0418631819542497,0.0017103065,0.08175539970397949,0.08023788,625000,68870,25.01097559928894,0.7595143,0.013536001,-0.0012841716,5.545494,29.9
6500,26,2.4824671860411764,0.0018007731,0.052352309226989746,0.082560614,650000,68598,25.774613857269287,0.8117922,0.013528,-0.0011317513,5.5416803,33.48
6750,27,2.553459758609533,0.0027883041,0.08815139532089233,0.08019305,675000,66263,26.53535032272339,0.76891553,0.024416,-0.0013752278,5.5371456,33.16
7000,28,2.977530870772898,0.0034774616,0.09955018758773804,0.08861077,700000,67972,27.350380897521973,0.9295963,0.034832,0.00093656796,5.533111,34.87
7250,29,2.5891333284974096,0.0024099576,0.12631958723068237,0.08612787,725000,68496,28.11428666114807,0.87647736,0.0188,-0.0013820587,5.5306945,32.97
7500,30,2.5467932955827566,0.0028439406,0.13335764408111572,0.084585644,750000,67395,28.87581753730774,0.89721906,0.023155998,-0.0015803156,5.529317,31.99
7750,31,2.7836108696833253,0.0030685184,0.13862663507461548,0.08636749,775000,68716,29.64745569229126,0.86046636,0.031036,-0.0016379275,5.5284796,34.31
8000,32,2.7017947802972047,0.0034879192,0.1536903977394104,0.089729,800000,69788,30.413434982299805,0.99090576,0.035008002,-0.0012374086,5.5269194,32.97
8250,33,2.4632247278920842,0.0023991778,0.1495935320854187,0.09127465,825000,66745,31.174684047698975,1.022902,0.018204,-0.0015789343,5.5249395,32.94
8500,34,2.6144980233721435,0.0032317534,0.18922185897827148,0.089592345,850000,66335,31.96643042564392,1.0308627,0.030232001,-0.000854544,5.5224357,31.65
8750,35,3.754096313007176,0.0026642883,0.242123544216156,0.09512216,875000,67309,32.74451780319214,1.0481751,0.024256,-0.0014041424,5.520696,39.12
9000,36,2.75265012787655,0.0036994652,0.1948133111000061,0.094505765,900000,68311,33.51562523841858,1.1446159,0.04182,-0.00096710416,5.518543,34.41
9250,37,3.496422257880913,0.0020814142,0.2738487124443054,0.09614289,925000,68565,34.28399729728699,1.0932028,0.0143720005,-0.0015631259,5.516292,40.66
9500,38,3.1515536724217235,0.0030109233,0.19690537452697754,0.098752454,950000,67645,35.050450801849365,1.1141322,0.030423999,-0.00091634475,5.5134153,35.94
9750,39,3.2422454460058363,0.0021576365,0.22323757410049438,0.10097053,975000,66411,35.816741704940796,1.1975162,0.016040001,-0.0008858686,5.5106964,36.59
10000,40,3.6516269830428065,0.0035347827,0.196327805519104,0.100032,1000000,68547,36.590272188186646,1.201181,0.036120005,-0.0007948706,5.507629,38.39
10250,41,2.5905023619066925,0.0024647056,0.17506223917007446,0.100095116,1025000,68202,37.35969161987305,1.2774423,0.02014,-0.0013652394,5.504587,32.27
10500,42,2.3874501290451735,0.003968367,0.15022140741348267,0.10021587,1050000,66389,38.12617588043213,1.3102411,0.042176,-0.0016043847,5.499882,30.91
10750,43,3.3192583493329586,0.003144002,0.1696452498435974,0.10766479,1075000,67748,38.88663911819458,1.394285,0.026892,-0.00025012525,5.493791,35.98
11000,44,5.153137392317876,0.0031602546,0.22423863410949707,0.10668424,1100000,65552,39.65333390235901,1.3106081,0.033228002,-0.0006406869,5.489109,46.06
11250,45,3.1505349302105605,0.0030470728,0.17503881454467773,0.1041205,1125000,68306,40.44695162773132,1.3073288,0.027803998,-0.0021416426,5.4850163,36.69
11500,46,4.244576164595783,0.0025287387,0.20168286561965942,0.10837763,1150000,70703,41.23896884918213,1.4599102,0.022024002,-0.0011173924,5.4814615,42.25
11750,47,3.7476534776203336,0.0039922805,0.13643282651901245,0.106853165,1175000,70394,41.974252462387085,1.495793,0.042284004,-0.0016376656,5.477847,38.56
12000,48,5.230817785859108,0.0019949106,0.19986772537231445,0.11142547,1200000,67377,42.70638966560364,1.5884234,0.011928,-0.0007856656,5.4742002,45.49
12250,49,3.662774258367717,0.0033997819,0.18147391080856323,0.11484431,1225000,65875,43.466331481933594,1.6708376,0.035144,-0.0002834351,5.471026,38.07
12500,50,3.943297515269369,0.003533993,0.1939907670021057,0.11205339,1250000,66670,44.23717141151428,1.6700569,0.032863997,-0.0020651668,5.469538,39.35
12750,51,3.616451188120991,0.0038461008,0.17535990476608276,0.11254838,1275000,66291,45.01265501976013,1.7826431,0.040036,-0.0016753825,5.467229,38.67
13000,52,4.593709316356108,0.003142688,0.2198237180709839,0.11652662,1300000,70387,45.77503037452698,1.761039,0.031783998,-0.0010384733,5.4652658,43.08
13250,53,4.662105543259531,0.0047245673,0.24343371391296387,0.124624416,1325000,68672,46.51777362823486,1.7810045,0.054768004,0.0005688602,5.4637456,45.64
13500,54,4.989934725500643,0.003989611,0.235886812210083,0.1263643,1350000,69135,47.271677017211914,1.9169457,0.042284,-0.0004912439,5.462655,44.71
13750,55,4.036197999520227,0.0046128454,0.2136632800102234,0.11793796,1375000,69746,48.02699160575867,1.9208046,0.056695998,-0.00160014,5.461606,39.15
14000,56,3.506827231515199,0.0033818055,0.20863497257232666,0.1303065,1400000,57665,48.7836127281189,1.901111,0.030964002,-0.0007342915,5.45969,38.74
14250,57,4.320165170244873,0.0031403198,0.25998812913894653,0.12981652,1425000,66629,49.61020565032959,1.9491129,0.029912,-0.0005690892,5.457652,41.38
14500,58,4.35338184046559,0.0022043493,0.24041485786437988,0.1292279,1450000,71012,50.38370633125305,2.0866296,0.014568001,-0.001026291,5.4551463,41.57
14750,59,4.805453494340181,0.0032894309,0.17692649364471436,0.123911895,1475000,65819,51.12776970863342,2.0373416,0.028508002,-0.002109814,5.452271,43.31
15000,60,5.172536663115024,0.0024404859,0.21039152145385742,0.13127555,1500000,66059,51.91484832763672,2.013904,0.018744001,-0.00039517865,5.4501195,44.12
