time_elapsed,explained_variance,fps,true_reward,policy_loss,policy_entropy,approxkl,ep_len_mean,value_loss,n_updates,serial_timesteps,ep_reward_mean,total_timesteps,clipfrac
37.88655757904053,0.8492210954427719,51461,0.032891195,-0.0015011306,2.0735857,0.004345851,242.48,0.60018814,36,9000,8.666993936440909,900000,0.046316
38.73372268676758,0.8857511579990387,49965,0.03801091,-0.0010678321,2.0707436,0.002980687,248.22,0.49201617,37,9250,9.647993444581052,925000,0.023624
39.60841083526611,0.9136863201856613,55963,0.027547171,-0.0017358752,2.068574,0.0073351585,234.23,0.49782062,38,9500,7.818926295260251,950000,0.09598
40.41272854804993,0.8769919127225876,57428,0.035034552,-0.00143287,2.0690143,0.0036870711,246.01,0.5176747,39,9750,9.064365796154098,975000,0.034368
41.207945108413696,0.8492245078086853,57613,0.03260184,-0.0017929841,2.0676332,0.0040973136,239.79,0.6545613,40,10000,8.34016391401597,1000000,0.042332
42.00134086608887,0.9257481098175049,52006,0.032030255,-0.0018680462,2.0659385,0.0032339296,242.32,0.4171393,41,10250,8.408689732595995,1025000,0.027591998
42.8381621837616,0.9032633453607559,57428,0.03077752,-0.0016734384,2.0616658,0.0032072936,241.43,0.5991519,42,10500,8.333778403475955,1050000,0.028191999
43.63449454307556,0.8951789140701294,55530,0.03389248,-0.0020575519,2.0584166,0.0039880937,245.32,0.44979888,43,10750,8.53900244679652,1075000,0.038352
44.44900321960449,0.8668152838945389,57917,0.030948397,-0.0009966528,2.053878,0.0043206196,239.77,0.6906176,44,11000,8.43487877755859,1100000,0.045835998
45.23302984237671,0.9026117324829102,56792,0.031759776,-0.0019393868,2.050109,0.0035243735,250.0,0.30093312,45,11250,7.93994419261262,1125000,0.034056
46.02919340133667,0.8977783024311066,55699,0.03566995,-0.0012990156,2.0486856,0.0034245166,239.18,0.58797324,46,11500,9.598626753908096,1150000,0.031999998
46.834484815597534,0.9249238297343254,55808,0.03130902,-0.0015722137,2.04878,0.0044506965,241.78,0.444027,47,11750,8.266367030927636,1175000,0.049251996
47.65100336074829,0.8590736389160156,54877,0.02983249,-0.00235648,2.0477815,0.005003039,242.35,0.5508077,48,12000,7.770545566149845,1200000,0.0565
48.460577726364136,0.9086050018668175,54506,0.03597624,-0.0019789177,2.0477355,0.0040022368,241.93,0.55082047,49,12250,9.445330310658905,1225000,0.041807998
49.29085731506348,0.8896071761846542,51056,0.038992204,-0.0015263046,2.048448,0.002960442,245.63,0.60214746,50,12500,9.943126944768935,1250000,0.024699999
50.1368613243103,0.858344778418541,51055,0.036226586,-0.0023426914,2.0496628,0.004059314,240.78,0.6392807,51,12750,9.339971861991753,1275000,0.040052
50.97808504104614,0.8797027617692947,50240,0.027387599,-0.0015118376,2.0481143,0.0037394217,228.18,0.7573302,52,13000,8.314047697433944,1300000,0.034784
51.83185362815857,0.8090115636587143,50912,0.033773,-0.0023133615,2.0464058,0.0038285393,238.12,0.8371723,53,13250,8.999259446981553,1325000,0.039996
52.674980878829956,0.9055478796362877,57995,0.028090937,-0.0017625077,2.0471447,0.0048854803,238.67,0.5194198,54,13500,7.830186862973978,1350000,0.055524003
53.46119976043701,0.9126301631331444,56423,0.031268623,-0.0020567202,2.0517304,0.0033506018,242.55,0.42689696,55,13750,8.304204090397125,1375000,0.031512
54.25794982910156,0.9283172339200974,57438,0.035240456,-0.0013886476,2.0551393,0.004753428,239.83,0.48460037,56,14000,9.321953087619695,1400000,0.051788002
55.03999876976013,0.9108863770961761,41147,0.038698655,-0.0020786386,2.0549917,0.0050009424,241.86,0.5346989,57,14250,9.71079874302754,1425000,0.056496
56.00728750228882,0.8987456411123276,51422,0.034276783,-0.0012016044,2.0513911,0.0047330135,250.0,0.40889493,58,14500,8.569196223223805,1450000,0.054447997
56.83723187446594,0.9016158804297447,56373,0.03353968,-0.0018201694,2.0454102,0.0041412683,250.0,0.38006926,59,14750,8.384919860501359,1475000,0.042504
57.627273082733154,0.9172318205237389,48681,0.032602135,-0.0011633147,2.0388322,0.0047018044,246.84,0.37643632,60,15000,8.476212185707793,1500000,0.051664002
58.487743854522705,0.9049526229500771,55966,0.03314096,-0.0017392203,2.0310032,0.0041670306,238.9,0.5990889,61,15250,8.83910861756123,1525000,0.042476002
59.29401469230652,0.9228341653943062,44004,0.031896986,-0.0020547416,2.0224688,0.0035038088,242.14,0.4244202,62,15500,8.516815500745121,1550000,0.032208003
60.21997809410095,0.8966546878218651,56467,0.03463163,-0.0019233369,2.0144172,0.0054010316,246.95,0.46396098,63,15750,9.007837427542064,1575000,0.06516
61.031439781188965,0.8531605154275894,49334,0.033500243,-0.0017415552,2.006807,0.004127758,233.42,0.79613173,64,16000,9.133576821697913,1600000,0.042388
61.88342595100403,0.849366769194603,50253,0.034626123,-0.0020109068,2.001884,0.0036923594,241.89,0.63112634,65,16250,9.180076478772936,1625000,0.036768
62.72694444656372,0.8813763037323952,48290,0.03628787,-0.0016804092,1.9945408,0.0033046282,247.51,0.432021,66,16500,9.177002947046967,1650000,0.029488001
63.59185528755188,0.9250962510704994,55560,0.03609329,-0.0014632277,1.9872278,0.0034126185,241.59,0.4708148,67,16750,9.553460522506958,1675000,0.032252003
64.37642359733582,0.8716105818748474,38884,0.03538761,-0.0013441474,1.9846723,0.0033012922,242.61,0.55114883,68,17000,9.259163068411862,1700000,0.028984
65.37742495536804,0.8852514699101448,57354,0.035978276,-0.0010573294,1.9794636,0.0044772797,243.49,0.61980945,69,17250,9.63977544219454,1725000,0.050427996
66.17179584503174,0.9070155844092369,55697,0.03633598,-0.0014736373,1.9732395,0.003048886,241.51,0.5118604,70,17500,9.502505387924916,1750000,0.024244
66.9693615436554,0.9040924683213234,49477,0.03373229,-0.0022206134,1.9658601,0.0034117582,240.12,0.5027461,71,17750,8.893035740429882,1775000,0.03344
67.83003783226013,0.9018958359956741,56485,0.03696187,-0.0014109437,1.9632084,0.004848516,243.28,0.58762723,72,18000,9.341102392095072,1800000,0.055476002
68.63397407531738,0.9167852401733398,40973,0.032674756,-0.0018273422,1.9625092,0.0031570557,232.28,0.59525,73,18250,8.953359846096525,1825000,0.025996
69.60155940055847,0.8984950929880142,57701,0.036139496,-0.0010177057,1.9606539,0.0045897085,248.04,0.43453068,74,18500,9.04606480849023,1850000,0.051020004
